,Model,Brand,Price_in_Pounds,Acceleration 0 - 100 km/h,Top Speed,Electric Range *,Total Power *,Total Torque *,Drive,Nominal Capacity,Battery Type,Number of Cells,Architecture,Useable Capacity*,Cathode Material,Pack Configuration,Nominal Voltage,Range *,Vehicle Consumption *,CO2 Emissions,Vehicle Fuel Equivalent *,Range,Rated Consumption,Vehicle Consumption,Rated Fuel Equivalent,Vehicle Fuel Equivalent,City - Cold Weather *,Highway - Cold Weather *,Combined - Cold Weather *,City - Mild Weather *,Highway - Mild Weather *,Combined - Mild Weather *,"Nominal Capacity							*",Electric Range,Total Power,Total Torque,City - Cold Weather,Highway - Cold Weather,Combined - Cold Weather,City - Mild Weather,Highway - Mild Weather,Combined - Mild Weather,Useable Capacity,Rated Consumption *,Rated Fuel Equivalent *,Acceleration 0 - 100 km/h *,Top Speed *
0,Tesla Model Y Long Range Dual Motor,Tesla,"52,990",5.0 sec,217 km/h,435 km,378 kW (514 PS),493 Nm,AWD,78.1 kWh,Lithium-ion,4416,400 V,75.0 kWh,NCM,96s46p,357 V,435 km,172 Wh/km,0 g/km,1.9 l/100km,533 km,No Data,141 Wh/km,No Data,1.6 l/100km,179 Wh/km,238 Wh/km,205 Wh/km,118 Wh/km,185 Wh/km,149 Wh/km,,,,,,,,,,,,,,,
1,Tesla Model 3,Tesla,"42,990",6.1 sec,225 km/h,405 km,208 kW (283 PS),420 Nm,Rear,,Lithium-ion,106,400 V,57.5 kWh,LFP,106s1p,340 V,405 km,142 Wh/km,0 g/km,1.6 l/100km,491 km,No Data,117 Wh/km,No Data,1.3 l/100km,153 Wh/km,198 Wh/km,172 Wh/km,97 Wh/km,149 Wh/km,121 Wh/km,60.0 kWh,,,,,,,,,,,,,,
2,Tesla Model 3 Long Range Dual Motor,Tesla,"50,990",4.4 sec,233 km/h,,,,AWD,78.1 kWh,Lithium-ion,4416,400 V,75.0 kWh,NCM,96s46p,357 V,,,0 g/km,,602 km,148 Wh/km,125 Wh/km,1.7 l/100km,1.4 l/100km,,,,,,,,485 km,366 kW (498 PS),493 Nm,165 Wh/km,214 Wh/km,188 Wh/km,107 Wh/km,163 Wh/km,134 Wh/km,,,,,
3,Tesla Model Y,Tesla,"44,990",6.9 sec,217 km/h,345 km,220 kW (299 PS),420 Nm,Rear,,Lithium-ion,106,400 V,57.5 kWh,LFP,106s1p,340 V,345 km,167 Wh/km,0 g/km,1.9 l/100km,430 km,No Data,134 Wh/km,No Data,1.5 l/100km,174 Wh/km,235 Wh/km,198 Wh/km,115 Wh/km,180 Wh/km,146 Wh/km,60.0 kWh,,,,,,,,,,,,,,
4,Toyota bZ4X FWD,Toyota,"45,710",7.5 sec,160 km/h,340 km,,,Front,71.4 kWh,Lithium-ion,96,400 V,,No Data,96s1p,355 V,340 km,188 Wh/km,0 g/km,2.1 l/100km,442 km,167 Wh/km,145 Wh/km,1.9 l/100km,1.6 l/100km,191 Wh/km,267 Wh/km,225 Wh/km,129 Wh/km,210 Wh/km,166 Wh/km,,,150 kW (204 PS),265 Nm,,,,,,,64.0 kWh,,,,
0,Lexus RZ 450e,Lexus,"64,500",5.6 sec,160 km/h,310 km,,,AWD,71.4 kWh,Lithium-ion,96,400 V,,No Data,96s1p,355 V,310 km,206 Wh/km,0 g/km,2.3 l/100km,,,,,,206 Wh/km,284 Wh/km,242 Wh/km,142 Wh/km,225 Wh/km,180 Wh/km,,,230 kW (313 PS),435 Nm,,,,,,,64.0 kWh,,,,
1,BYD ATTO 3,BYD,"36,490",7.3 sec,160 km/h,320 km,,,Front,60.5 kWh,Lithium-ion,126,400 V,60.0 kWh,LFP,126s1p,403 V,320 km,188 Wh/km,0 g/km,2.1 l/100km,420 km,156 Wh/km,143 Wh/km,1.8 l/100km,1.6 l/100km,185 Wh/km,261 Wh/km,218 Wh/km,125 Wh/km,207 Wh/km,162 Wh/km,,,150 kW (204 PS),310 Nm,,,,,,,,,,,
2,MG MG4 Electric 64 kWh,MG,"29,495",7.9 sec,160 km/h,370 km,,,Rear,64.0 kWh,Lithium-ion,104,400 V,,NCM,104s1p,No Data,370 km,167 Wh/km,0 g/km,1.9 l/100km,435 km,166 Wh/km,142 Wh/km,1.9 l/100km,1.6 l/100km,171 Wh/km,237 Wh/km,199 Wh/km,113 Wh/km,181 Wh/km,145 Wh/km,,,150 kW (204 PS),250 Nm,,,,,,,61.7 kWh,,,,
3,Tesla Model Y Performance,Tesla,"59,990",3.7 sec,250 km/h,415 km,393 kW (534 PS),660 Nm,AWD,78.1 kWh,Lithium-ion,4416,400 V,75.0 kWh,NCM,96s46p,357 V,415 km,181 Wh/km,0 g/km,2.0 l/100km,514 km,171 Wh/km,146 Wh/km,1.9 l/100km,1.6 l/100km,185 Wh/km,250 Wh/km,214 Wh/km,124 Wh/km,195 Wh/km,156 Wh/km,,,,,,,,,,,,,,,
4,Tesla Model S Plaid,Tesla,"115,000",2.1 sec,282 km/h,,,,AWD,,Lithium-ion,7920,400 V,95.0 kWh,NCA,110s72p,407 V,,,0 g/km,,600 km,187 Wh/km,158 Wh/km,2.1 l/100km,1.8 l/100km,,,,,,,100.0 kWh,560 km,760 kW (1033 PS),No Data,181 Wh/km,232 Wh/km,202 Wh/km,120 Wh/km,178 Wh/km,147 Wh/km,,,,,
5,BMW iX1 xDrive30,BMW,"52,255",5.6 sec,180 km/h,,,,AWD,68.0 kWh,Lithium-ion,No Data,400 V,,No Data,No Data,No Data,,,0 g/km,,417 km,181 Wh/km,155 Wh/km,2.0 l/100km,1.7 l/100km,,,,,,,,370 km,230 kW (313 PS),494 Nm,180 Wh/km,244 Wh/km,209 Wh/km,120 Wh/km,190 Wh/km,152 Wh/km,64.7 kWh,,,,
6,BMW i4 eDrive40,BMW,"57,890",5.7 sec,190 km/h,470 km,,,Rear,83.9 kWh,Lithium-ion,No Data,400 V,,No Data,No Data,399 V,589 km,137 Wh/km,0 g/km,1.5 l/100km,493 km,191 Wh/km,164 Wh/km,2.1 l/100km,1.8 l/100km,181 Wh/km,237 Wh/km,207 Wh/km,120 Wh/km,183 Wh/km,149 Wh/km,,,250 kW (340 PS),430 Nm,,,,,,,80.7 kWh,161 Wh/km,1.8 l/100km,,
7,BMW iX xDrive40,BMW,"69,905",6.1 sec,200 km/h,,,,AWD,76.6 kWh,Lithium-ion,No Data,400 V,,No Data,No Data,330 V,,,0 g/km,,372 km,225 Wh/km,191 Wh/km,2.5 l/100km,2.1 l/100km,,,,,,,,360 km,240 kW (326 PS),630 Nm,203 Wh/km,273 Wh/km,233 Wh/km,138 Wh/km,215 Wh/km,175 Wh/km,71.0 kWh,,,,
8,Kia Niro EV,Kia,"36,795",7.8 sec,167 km/h,380 km,,,Front,,Lithium-ion,294,400 V,,No Data,98s3p,358 V,380 km,171 Wh/km,0 g/km,1.9 l/100km,463 km,164 Wh/km,140 Wh/km,1.8 l/100km,1.6 l/100km,173 Wh/km,240 Wh/km,203 Wh/km,115 Wh/km,188 Wh/km,149 Wh/km,68.0 kWh,,150 kW (204 PS),255 Nm,,,,,,,64.8 kWh,,,,
9,BYD HAN,BYD,,3.9 sec,180 km/h,465 km,,,AWD,85.4 kWh,Lithium-ion,178,800 V,83.0 kWh,LFP,178s1p,569 V,465 km,178 Wh/km,0 g/km,2.0 l/100km,521 km,185 Wh/km,159 Wh/km,2.1 l/100km,1.8 l/100km,189 Wh/km,248 Wh/km,213 Wh/km,126 Wh/km,191 Wh/km,157 Wh/km,,,380 kW (517 PS),700 Nm,,,,,,,,,,,
10,Mercedes EQS 450+,Mercedes,"105,610",6.2 sec,210 km/h,640 km,,,Rear,,Lithium-ion,432,400 V,,NCM811,108s4p,396 V,640 km,168 Wh/km,0 g/km,1.9 l/100km,631 km,198 Wh/km,171 Wh/km,2.2 l/100km,1.9 l/100km,181 Wh/km,229 Wh/km,201 Wh/km,120 Wh/km,175 Wh/km,146 Wh/km,120.0 kWh,,245 kW (333 PS),568 Nm,,,,,,,107.8 kWh,,,,
11,Mercedes EQE 350+,Mercedes,"76,450",6.4 sec,210 km/h,525 km,,,Rear,,Lithium-ion,360,400 V,,NCM811,90s4p,328 V,525 km,173 Wh/km,0 g/km,1.9 l/100km,545 km,193 Wh/km,166 Wh/km,2.2 l/100km,1.9 l/100km,183 Wh/km,238 Wh/km,206 Wh/km,122 Wh/km,183 Wh/km,150 Wh/km,100.0 kWh,,215 kW (292 PS),565 Nm,,,,,,,90.6 kWh,,,,
12,Tesla Model S Dual Motor,Tesla,"96,000",3.2 sec,250 km/h,,,,AWD,,Lithium-ion,7920,400 V,95.0 kWh,NCA,110s72p,407 V,,,0 g/km,,634 km,No Data,150 Wh/km,No Data,1.7 l/100km,,,,,,,100.0 kWh,575 km,504 kW (685 PS),No Data,176 Wh/km,226 Wh/km,198 Wh/km,116 Wh/km,173 Wh/km,143 Wh/km,,,,,
13,Skoda Enyaq iV 80,Skoda,"42,925",8.6 sec,160 km/h,420 km,,,Rear,82.0 kWh,Lithium-ion,288,400 V,,NCM712,96s3p,350 V,420 km,183 Wh/km,0 g/km,2.1 l/100km,510 km,No Data,151 Wh/km,No Data,1.7 l/100km,186 Wh/km,257 Wh/km,217 Wh/km,125 Wh/km,200 Wh/km,160 Wh/km,,,150 kW (204 PS),310 Nm,,,,,,,77.0 kWh,,,,
14,Tesla Model 3 Performance,Tesla,"57,990",3.3 sec,261 km/h,,393 kW (534 PS),660 Nm,AWD,78.1 kWh,Lithium-ion,4416,400 V,75.0 kWh,NCM,96s46p,357 V,,,0 g/km,,547 km,165 Wh/km,137 Wh/km,1.9 l/100km,1.5 l/100km,,,,,,,,460 km,,,170 Wh/km,227 Wh/km,195 Wh/km,113 Wh/km,174 Wh/km,142 Wh/km,,,,,
0,Audi Q8 e-tron 55 quattro,Audi,"77,800",5.6 sec,200 km/h,,,,AWD,114.0 kWh,Lithium-ion,432,400 V,,NCA,108s4p,397 V,,,0 g/km,,481 km,244 Wh/km,220 Wh/km,2.7 l/100km,2.5 l/100km,,,,,,,,495 km,300 kW (408 PS),664 Nm,216 Wh/km,294 Wh/km,249 Wh/km,150 Wh/km,233 Wh/km,189 Wh/km,106.0 kWh,,,,
1,BMW i7 xDrive60,BMW,"110,545",4.7 sec,240 km/h,510 km,,,AWD,105.7 kWh,Lithium-ion,No Data,400 V,,No Data,No Data,376 V,510 km,199 Wh/km,0 g/km,2.2 l/100km,590 km,196 Wh/km,172 Wh/km,2.2 l/100km,1.9 l/100km,208 Wh/km,271 Wh/km,237 Wh/km,142 Wh/km,212 Wh/km,175 Wh/km,,,400 kW (544 PS),745 Nm,,,,,,,101.7 kWh,,,,
2,Hyundai IONIQ 5 Long Range 2WD,Hyundai,"46,650",7.3 sec,185 km/h,390 km,,,Rear,77.4 kWh,Lithium-ion,384,800 V,74.0 kWh,No Data,192s2p,697 V,390 km,190 Wh/km,0 g/km,2.1 l/100km,476 km,180 Wh/km,155 Wh/km,2.0 l/100km,1.7 l/100km,190 Wh/km,264 Wh/km,224 Wh/km,129 Wh/km,208 Wh/km,166 Wh/km,,,168 kW (228 PS),350 Nm,,,,,,,,,,,
3,Kia EV6 GT,Kia,"62,645",3.5 sec,260 km/h,370 km,,,AWD,77.4 kWh,Lithium-ion,384,800 V,74.0 kWh,No Data,192s2p,697 V,370 km,200 Wh/km,0 g/km,2.2 l/100km,424 km,206 Wh/km,175 Wh/km,2.3 l/100km,2.0 l/100km,203 Wh/km,279 Wh/km,235 Wh/km,138 Wh/km,221 Wh/km,176 Wh/km,,,430 kW (585 PS),740 Nm,,,,,,,,,,,
4,BYD TANG,BYD,,4.6 sec,180 km/h,350 km,,,AWD,86.4 kWh,Lithium-ion,200,800 V,84.0 kWh,LFP,200s1p,640 V,350 km,240 Wh/km,0 g/km,2.7 l/100km,400 km,238 Wh/km,210 Wh/km,2.7 l/100km,2.4 l/100km,233 Wh/km,336 Wh/km,280 Wh/km,166 Wh/km,271 Wh/km,215 Wh/km,,,380 kW (517 PS),680 Nm,,,,,,,,,,,
5,Hyundai Kona Electric 64 kWh,Hyundai,"37,750",7.9 sec,167 km/h,395 km,,,Front,,Lithium-ion,294,400 V,,No Data,98s3p,356 V,395 km,162 Wh/km,0 g/km,1.8 l/100km,484 km,147 Wh/km,132 Wh/km,1.7 l/100km,1.5 l/100km,164 Wh/km,229 Wh/km,191 Wh/km,108 Wh/km,175 Wh/km,139 Wh/km,67.5 kWh,,150 kW (204 PS),395 Nm,,,,,,,64.0 kWh,,,,
6,Hyundai IONIQ 6 Long Range AWD,Hyundai,"50,245",5.1 sec,185 km/h,440 km,,,AWD,77.4 kWh,Lithium-ion,384,800 V,74.0 kWh,No Data,192s2p,697 V,440 km,168 Wh/km,0 g/km,1.9 l/100km,519 km,169 Wh/km,143 Wh/km,1.9 l/100km,1.6 l/100km,176 Wh/km,231 Wh/km,200 Wh/km,117 Wh/km,178 Wh/km,145 Wh/km,,,239 kW (325 PS),605 Nm,,,,,,,,,,,
7,Dacia Spring Electric 45,Dacia,,19.1 sec,125 km/h,165 km,,,Front,26.8 kWh,Lithium-ion,72,400 V,25.0 kWh,No Data,72s1p,240 V,165 km,152 Wh/km,0 g/km,1.7 l/100km,230 km,139 Wh/km,109 Wh/km,1.6 l/100km,1.2 l/100km,152 Wh/km,227 Wh/km,185 Wh/km,98 Wh/km,172 Wh/km,132 Wh/km,,,33 kW (45 PS),125 Nm,,,,,,,,,,,
8,Mercedes EQC 400 4MATIC,Mercedes,"72,335",5.1 sec,180 km/h,,,,AWD,,Lithium-ion,384,400 V,,NCM622,96s4p,350 V,,,0 g/km,,411 km,223 Wh/km,195 Wh/km,2.5 l/100km,2.2 l/100km,,,,,,,85.0 kWh,370 km,300 kW (408 PS),760 Nm,216 Wh/km,296 Wh/km,254 Wh/km,151 Wh/km,235 Wh/km,190 Wh/km,80.0 kWh,,,,
9,Audi e-tron GT RS,Audi,"115,000",3.3 sec,250 km/h,405 km,,,AWD,93.4 kWh,Lithium-ion,396,800 V,,NCM622,198s2p,725 V,405 km,210 Wh/km,0 g/km,2.4 l/100km,433 km,225 Wh/km,196 Wh/km,2.5 l/100km,2.2 l/100km,215 Wh/km,288 Wh/km,246 Wh/km,150 Wh/km,227 Wh/km,185 Wh/km,,,475 kW (646 PS),830 Nm,,,,,,,85.0 kWh,,,,
10,BMW i4 eDrive35,BMW,"49,995",6.0 sec,190 km/h,400 km,,,Rear,70.2 kWh,Lithium-ion,No Data,400 V,,No Data,No Data,No Data,400 km,168 Wh/km,0 g/km,1.9 l/100km,406 km,187 Wh/km,165 Wh/km,2.1 l/100km,1.9 l/100km,176 Wh/km,231 Wh/km,200 Wh/km,117 Wh/km,179 Wh/km,146 Wh/km,,,210 kW (286 PS),400 Nm,,,,,,,67.0 kWh,,,,
11,Smart #1,Smart,"35,000",6.7 sec,180 km/h,330 km,,,Rear,66.0 kWh,Lithium-ion,No Data,400 V,,NCM,No Data,No Data,330 km,188 Wh/km,0 g/km,2.1 l/100km,420 km,174 Wh/km,148 Wh/km,2.0 l/100km,1.7 l/100km,188 Wh/km,264 Wh/km,221 Wh/km,127 Wh/km,207 Wh/km,163 Wh/km,,,200 kW (272 PS),343 Nm,,,,,,,62.0 kWh,,,,
12,Renault Megane E-Tech EV60 220hp,Renault,"36,995",7.4 sec,160 km/h,,,,Front,65.0 kWh,Lithium-ion,288,400 V,,NCM,96s3p,352 V,,,0 g/km,,429 km,No Data,140 Wh/km,No Data,1.6 l/100km,,,,,,,,380 km,160 kW (218 PS),300 Nm,162 Wh/km,222 Wh/km,188 Wh/km,105 Wh/km,171 Wh/km,136 Wh/km,60.0 kWh,,,,
13,BMW i4 M50,BMW,"71,085",3.9 sec,225 km/h,435 km,,,AWD,83.9 kWh,Lithium-ion,No Data,400 V,,No Data,No Data,399 V,520 km,155 Wh/km,0 g/km,1.7 l/100km,415 km,225 Wh/km,194 Wh/km,2.5 l/100km,2.2 l/100km,192 Wh/km,256 Wh/km,218 Wh/km,130 Wh/km,197 Wh/km,161 Wh/km,,,400 kW (544 PS),795 Nm,,,,,,,80.7 kWh,181 Wh/km,2.0 l/100km,,
14,Audi Q4 e-tron 40,Audi,"49,930",8.5 sec,160 km/h,405 km,,,Rear,82.0 kWh,Lithium-ion,288,400 V,,No Data,96s3p,No Data,405 km,189 Wh/km,0 g/km,2.1 l/100km,447 km,200 Wh/km,171 Wh/km,2.2 l/100km,1.9 l/100km,189 Wh/km,264 Wh/km,222 Wh/km,129 Wh/km,207 Wh/km,165 Wh/km,,,150 kW (204 PS),310 Nm,,,,,,,76.6 kWh,,,,
15,BMW iX xDrive50,BMW,"99,785",4.6 sec,200 km/h,505 km,,,AWD,111.5 kWh,Lithium-ion,No Data,400 V,,No Data,No Data,369 V,505 km,208 Wh/km,0 g/km,2.3 l/100km,549 km,230 Wh/km,192 Wh/km,2.6 l/100km,2.2 l/100km,210 Wh/km,288 Wh/km,245 Wh/km,146 Wh/km,226 Wh/km,183 Wh/km,,,385 kW (523 PS),765 Nm,,,,,,,105.2 kWh,,,,
16,BMW iX M60,BMW,"119,225",3.8 sec,250 km/h,485 km,,,AWD,111.5 kWh,Lithium-ion,No Data,400 V,,No Data,No Data,369 V,485 km,217 Wh/km,0 g/km,2.4 l/100km,499 km,247 Wh/km,211 Wh/km,2.8 l/100km,2.4 l/100km,219 Wh/km,301 Wh/km,257 Wh/km,154 Wh/km,236 Wh/km,193 Wh/km,,,455 kW (619 PS),1100 Nm,,,,,,,105.2 kWh,,,,
17,MG ZS EV Long Range,MG,"32,995",8.4 sec,175 km/h,,,,Front,72.6 kWh,Lithium-ion,No Data,400 V,,NCM,No Data,No Data,,,0 g/km,,440 km,178 Wh/km,155 Wh/km,2.0 l/100km,1.7 l/100km,,,,,,,,370 km,115 kW (156 PS),280 Nm,182 Wh/km,263 Wh/km,217 Wh/km,123 Wh/km,207 Wh/km,163 Wh/km,68.3 kWh,,,,
18,Volkswagen ID. Buzz Pro,Volkswagen,"57,115",10.2 sec,145 km/h,,,,Rear,82.0 kWh,Lithium-ion,288,400 V,,No Data,96s3p,350 V,,,0 g/km,,410 km,217 Wh/km,188 Wh/km,2.4 l/100km,2.1 l/100km,,,,,,,,340 km,150 kW (204 PS),310 Nm,220 Wh/km,314 Wh/km,261 Wh/km,154 Wh/km,252 Wh/km,200 Wh/km,77.0 kWh,,,,
19,Fiat 500e Hatchback 42 kWh,Fiat,"30,645",9.0 sec,150 km/h,,,,Front,42.0 kWh,Lithium-ion,192,400 V,,No Data,96s2p,355 V,,,0 g/km,,315 km,143 Wh/km,118 Wh/km,1.6 l/100km,1.3 l/100km,,,,,,,,235 km,87 kW (118 PS),220 Nm,162 Wh/km,226 Wh/km,191 Wh/km,105 Wh/km,173 Wh/km,138 Wh/km,37.3 kWh,,,,
0,Mercedes EQS 580 4MATIC,Mercedes,,4.3 sec,210 km/h,605 km,,,AWD,,Lithium-ion,432,400 V,,NCM811,108s4p,396 V,605 km,178 Wh/km,0 g/km,2.0 l/100km,588 km,213 Wh/km,183 Wh/km,2.4 l/100km,2.1 l/100km,189 Wh/km,240 Wh/km,211 Wh/km,127 Wh/km,184 Wh/km,154 Wh/km,120.0 kWh,,385 kW (523 PS),855 Nm,,,,,,,107.8 kWh,,,,
1,BMW iX3,BMW,"64,165",6.8 sec,180 km/h,,,,Rear,80.0 kWh,Lithium-ion,No Data,400 V,,NCM811,No Data,400 V,,,0 g/km,,453 km,195 Wh/km,163 Wh/km,2.2 l/100km,1.8 l/100km,,,,,,,,385 km,210 kW (286 PS),400 Nm,192 Wh/km,269 Wh/km,228 Wh/km,132 Wh/km,211 Wh/km,168 Wh/km,74.0 kWh,,,,
2,Renault Zoe ZE50 R110,Renault,"29,095",11.4 sec,135 km/h,,,,Front,,Lithium-ion,192,400 V,,NCM712,96s2p,350 V,,,0 g/km,,395 km,174 Wh/km,132 Wh/km,2.0 l/100km,1.5 l/100km,,,,,,,54.7 kWh,315 km,80 kW (109 PS),225 Nm,168 Wh/km,236 Wh/km,196 Wh/km,109 Wh/km,182 Wh/km,142 Wh/km,52.0 kWh,,,,
3,MG MG4 Electric 51 kWh,MG,"26,995",7.7 sec,160 km/h,305 km,,,Rear,51.0 kWh,Lithium-ion,104,400 V,,LFP,104s1p,No Data,305 km,167 Wh/km,0 g/km,1.9 l/100km,350 km,170 Wh/km,145 Wh/km,1.9 l/100km,1.6 l/100km,169 Wh/km,236 Wh/km,199 Wh/km,113 Wh/km,181 Wh/km,145 Wh/km,,,125 kW (170 PS),250 Nm,,,,,,,50.8 kWh,,,,
4,Opel Astra Electric,Opel,"36,000",,170 km/h,310 km,,,Front,54.0 kWh,Lithium-ion,102,400 V,,NMC811,102s1p,377 V,310 km,164 Wh/km,0 g/km,1.8 l/100km,416 km,149 Wh/km,122 Wh/km,1.7 l/100km,1.4 l/100km,169 Wh/km,231 Wh/km,195 Wh/km,110 Wh/km,178 Wh/km,143 Wh/km,,,115 kW (156 PS),270 Nm,,,,,,,50.8 kWh,,,8.5 sec,
5,Volkswagen ID.4 Pro,Volkswagen,"44,605",10.4 sec,160 km/h,410 km,,,Rear,82.0 kWh,Lithium-ion,288,400 V,,NCM712,96s3p,350 V,410 km,188 Wh/km,0 g/km,2.1 l/100km,513 km,171 Wh/km,150 Wh/km,1.9 l/100km,1.7 l/100km,190 Wh/km,261 Wh/km,223 Wh/km,128 Wh/km,205 Wh/km,166 Wh/km,,,128 kW (174 PS),235 Nm,,,,,,,77.0 kWh,,,,
6,Hongqi E-HS9 99 kWh,Hongqi,,4.9 sec,200 km/h,355 km,,,AWD,99.0 kWh,Lithium-ion,No Data,400 V,,No Data,No Data,410 V,355 km,254 Wh/km,0 g/km,2.8 l/100km,465 km,220 Wh/km,194 Wh/km,2.5 l/100km,2.2 l/100km,243 Wh/km,353 Wh/km,295 Wh/km,175 Wh/km,286 Wh/km,228 Wh/km,,,405 kW (551 PS),750 Nm,,,,,,,90.0 kWh,,,,
7,Hyundai IONIQ 6 Long Range 2WD,Hyundai,"46,745",7.4 sec,185 km/h,,,,Rear,77.4 kWh,Lithium-ion,384,800 V,74.0 kWh,No Data,192s2p,697 V,,,0 g/km,,545 km,160 Wh/km,136 Wh/km,1.8 l/100km,1.5 l/100km,,,,,,,,495 km,168 kW (228 PS),350 Nm,161 Wh/km,208 Wh/km,180 Wh/km,103 Wh/km,157 Wh/km,129 Wh/km,,,,,
8,Nissan Ariya 87kWh,Nissan,"51,895",7.6 sec,160 km/h,,,,Front,91.0 kWh,Lithium-ion,No Data,400 V,,NCM,No Data,No Data,,,0 g/km,,516 km,187 Wh/km,169 Wh/km,2.1 l/100km,1.9 l/100km,,,,,,,,445 km,178 kW (242 PS),300 Nm,193 Wh/km,272 Wh/km,229 Wh/km,133 Wh/km,215 Wh/km,171 Wh/km,87.0 kWh,,,,
9,Kia EV6 Long Range 2WD,Kia,"45,245",7.3 sec,185 km/h,410 km,,,Rear,77.4 kWh,Lithium-ion,384,800 V,74.0 kWh,No Data,192s2p,697 V,410 km,180 Wh/km,0 g/km,2.0 l/100km,504 km,172 Wh/km,147 Wh/km,1.9 l/100km,1.6 l/100km,185 Wh/km,255 Wh/km,214 Wh/km,124 Wh/km,197 Wh/km,157 Wh/km,,,168 kW (228 PS),350 Nm,,,,,,,,,,,
10,Nissan Leaf,Nissan,"28,995",7.9 sec,144 km/h,235 km,,,Front,40.0 kWh,Lithium-ion,192,400 V,,NCM523,96s2p,350 V,235 km,166 Wh/km,0 g/km,1.9 l/100km,270 km,171 Wh/km,144 Wh/km,1.9 l/100km,1.6 l/100km,166 Wh/km,236 Wh/km,195 Wh/km,110 Wh/km,181 Wh/km,142 Wh/km,,,110 kW (150 PS),320 Nm,,,,,,,39.0 kWh,,,,
