,Model,Brand,Price_in_Pounds,Acceleration 0 - 100 km/h,Top Speed,Electric Range *,Total Power *,Total Torque *,Drive,Nominal Capacity,Battery Type,Number of Cells,Architecture,Useable Capacity*,Cathode Material,Pack Configuration,Nominal Voltage,Range *,Vehicle Consumption *,CO2 Emissions,Vehicle Fuel Equivalent *,Range,Rated Consumption,Vehicle Consumption,Rated Fuel Equivalent,Vehicle Fuel Equivalent,City - Cold Weather *,Highway - Cold Weather *,Combined - Cold Weather *,City - Mild Weather *,Highway - Mild Weather *,Combined - Mild Weather *,"Nominal Capacity							*",Electric Range,Total Power,Total Torque,City - Cold Weather,Highway - Cold Weather,Combined - Cold Weather,City - Mild Weather,Highway - Mild Weather,Combined - Mild Weather,Useable Capacity,Rated Consumption *,Rated Fuel Equivalent *,Acceleration 0 - 100 km/h *,Top Speed *
24,Polestar 2 Standard Range Single Motor,Polestar,"44,950",6.4 sec,205 km/h,385 km,,,Rear,69.0 kWh,Lithium-ion,288,400 V,,NCM,96s3p,355 V,385 km,174 Wh/km,0 g/km,2.0 l/100km,482 km,No Data,139 Wh/km,No Data,1.6 l/100km,179 Wh/km,244 Wh/km,206 Wh/km,120 Wh/km,189 Wh/km,152 Wh/km,,,200 kW (272 PS),490 Nm,,,,,,,67.0 kWh,,,,
25,Hyundai IONIQ 5 Standard Range 2WD,Hyundai,"43,150",8.5 sec,185 km/h,295 km,,,Rear,58.0 kWh,Lithium-ion,288,800 V,54.0 kWh,No Data,144s2p,523 V,295 km,183 Wh/km,0 g/km,2.1 l/100km,384 km,167 Wh/km,141 Wh/km,1.9 l/100km,1.6 l/100km,183 Wh/km,257 Wh/km,216 Wh/km,124 Wh/km,200 Wh/km,159 Wh/km,,,125 kW (170 PS),350 Nm,,,,,,,,,,,
26,Opel Corsa-e,Opel,"31,130",8.1 sec,150 km/h,295 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,295 km,157 Wh/km,0 g/km,1.8 l/100km,359 km,156 Wh/km,129 Wh/km,1.8 l/100km,1.4 l/100km,162 Wh/km,226 Wh/km,189 Wh/km,105 Wh/km,171 Wh/km,136 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
27,Smart EQ fortwo coupe,Smart,"22,225",11.6 sec,130 km/h,,,,Rear,17.6 kWh,Lithium-ion,No Data,400 V,16.7 kWh,No Data,No Data,No Data,,,0 g/km,,133 km,161 Wh/km,126 Wh/km,1.8 l/100km,1.4 l/100km,,,,,,,,100 km,60 kW (82 PS),160 Nm,159 Wh/km,239 Wh/km,196 Wh/km,104 Wh/km,186 Wh/km,145 Wh/km,,,,,
28,e.Go e.wave X,e.Go,,,135 km/h,150 km,,,Rear,30.4 kWh,Lithium-ion,No Data,400 V,27.0 kWh,No Data,No Data,No Data,150 km,180 Wh/km,0 g/km,2.0 l/100km,163 km,186 Wh/km,166 Wh/km,2.1 l/100km,1.9 l/100km,174 Wh/km,257 Wh/km,208 Wh/km,115 Wh/km,200 Wh/km,154 Wh/km,,,86 kW (117 PS),No Data,,,,,,,,,,12.0 sec,
29,Smart #1 Brabus,Smart,"42,000",3.9 sec,180 km/h,320 km,,,AWD,66.0 kWh,Lithium-ion,No Data,400 V,,NCM,No Data,No Data,320 km,194 Wh/km,0 g/km,2.2 l/100km,400 km,179 Wh/km,155 Wh/km,2.0 l/100km,1.7 l/100km,194 Wh/km,276 Wh/km,230 Wh/km,132 Wh/km,214 Wh/km,170 Wh/km,,,315 kW (428 PS),543 Nm,,,,,,,62.0 kWh,,,,
30,Volkswagen ID.5 Pro,Volkswagen,"50,710",10.4 sec,160 km/h,430 km,,,Rear,82.0 kWh,Lithium-ion,288,400 V,,NCM712,96s3p,350 V,430 km,179 Wh/km,0 g/km,2.0 l/100km,516 km,169 Wh/km,149 Wh/km,1.9 l/100km,1.7 l/100km,183 Wh/km,248 Wh/km,214 Wh/km,124 Wh/km,195 Wh/km,157 Wh/km,,,128 kW (174 PS),235 Nm,,,,,,,77.0 kWh,,,,
31,MG ZS EV Standard Range,MG,"30,495",8.6 sec,175 km/h,265 km,,,Front,51.1 kWh,Lithium-ion,No Data,400 V,,No Data,No Data,No Data,265 km,185 Wh/km,0 g/km,2.1 l/100km,320 km,173 Wh/km,153 Wh/km,1.9 l/100km,1.7 l/100km,181 Wh/km,265 Wh/km,218 Wh/km,121 Wh/km,204 Wh/km,161 Wh/km,,,130 kW (177 PS),280 Nm,,,,,,,49.0 kWh,,,,
32,Volkswagen ID.3 Pro S - 4 Seats,Volkswagen,"42,870",7.9 sec,160 km/h,455 km,,,Rear,82.0 kWh,Lithium-ion,288,400 V,,No Data,96s3p,350 V,455 km,169 Wh/km,0 g/km,1.9 l/100km,559 km,157 Wh/km,138 Wh/km,1.8 l/100km,1.5 l/100km,175 Wh/km,237 Wh/km,203 Wh/km,116 Wh/km,183 Wh/km,147 Wh/km,,,150 kW (204 PS),310 Nm,,,,,,,77.0 kWh,,,,
33,Volvo XC40 Recharge Twin Motor,Volvo,"51,755",4.8 sec,180 km/h,390 km,,,AWD,82.0 kWh,Lithium-ion,324,400 V,,NCM,108s3p,400 V,390 km,203 Wh/km,0 g/km,2.3 l/100km,522 km,181 Wh/km,151 Wh/km,2.0 l/100km,1.7 l/100km,200 Wh/km,287 Wh/km,239 Wh/km,139 Wh/km,226 Wh/km,180 Wh/km,,,300 kW (408 PS),670 Nm,,,,,,,79.0 kWh,,,,
34,Polestar 3 Long Range Dual motor,Polestar,"79,900",5.0 sec,210 km/h,490 km,,,AWD,111.0 kWh,Lithium-ion,204,400 V,,NMC,102s2p,No Data,610 km,175 Wh/km,0 g/km,2.0 l/100km,,,,,,218 Wh/km,301 Wh/km,255 Wh/km,152 Wh/km,238 Wh/km,193 Wh/km,,,360 kW (489 PS),840 Nm,,,,,,,107.0 kWh,No Data,No Data,,
35,Audi e-tron GT quattro,Audi,"84,000",4.1 sec,245 km/h,420 km,,,AWD,93.4 kWh,Lithium-ion,396,800 V,,NCM622,198s2p,725 V,420 km,202 Wh/km,0 g/km,2.3 l/100km,487 km,199 Wh/km,175 Wh/km,2.2 l/100km,2.0 l/100km,210 Wh/km,279 Wh/km,239 Wh/km,144 Wh/km,218 Wh/km,179 Wh/km,,,390 kW (530 PS),640 Nm,,,,,,,85.0 kWh,,,,
36,Fisker Ocean Sport,Fisker,"35,970",7.4 sec,,380 km,,,Front,,Lithium-ion,No Data,400 V,75.0 kWh,LFP,No Data,No Data,440 km,170 Wh/km,0 g/km,1.9 l/100km,,,,,,197 Wh/km,273 Wh/km,231 Wh/km,135 Wh/km,214 Wh/km,172 Wh/km,75.0 kWh,,205 kW (279 PS),No Data,,,,,,,,No Data,No Data,,160 km/h
37,Fisker Ocean Extreme,Fisker,"60,880",3.9 sec,205 km/h,525 km,,,AWD,113.0 kWh,Lithium-ion,No Data,400 V,105.0 kWh,NMC,No Data,No Data,525 km,200 Wh/km,0 g/km,2.2 l/100km,707 km,No Data,149 Wh/km,No Data,1.7 l/100km,202 Wh/km,280 Wh/km,236 Wh/km,140 Wh/km,219 Wh/km,176 Wh/km,,,420 kW (571 PS),737 Nm,,,,,,,,,,,
38,Mercedes EQS AMG 53 4MATIC+,Mercedes,"161,860",3.4 sec,250 km/h,,,,AWD,,Lithium-ion,432,400 V,,NCM811,108s4p,396 V,,,0 g/km,,526 km,243 Wh/km,205 Wh/km,2.7 l/100km,2.3 l/100km,,,,,,,120.0 kWh,540 km,560 kW (761 PS),1020 Nm,209 Wh/km,273 Wh/km,237 Wh/km,144 Wh/km,213 Wh/km,175 Wh/km,107.8 kWh,,,,
39,Toyota bZ4X AWD,Toyota,"52,110",6.9 sec,160 km/h,,,,AWD,71.4 kWh,Lithium-ion,96,400 V,,No Data,96s1p,355 V,,,0 g/km,,415 km,180 Wh/km,154 Wh/km,2.0 l/100km,1.7 l/100km,,,,,,,,315 km,160 kW (218 PS),336 Nm,200 Wh/km,284 Wh/km,237 Wh/km,139 Wh/km,225 Wh/km,178 Wh/km,64.0 kWh,,,,
0,Volvo XC40 Recharge Single Motor ER,Volvo,,7.3 sec,180 km/h,405 km,,,Rear,82.0 kWh,Lithium-ion,324,400 V,,NCM,108s3p,400 V,405 km,195 Wh/km,0 g/km,2.2 l/100km,553 km,173 Wh/km,143 Wh/km,1.9 l/100km,1.6 l/100km,193 Wh/km,277 Wh/km,229 Wh/km,132 Wh/km,216 Wh/km,172 Wh/km,,,185 kW (252 PS),420 Nm,,,,,,,79.0 kWh,,,,
1,Nissan Leaf e+,Nissan,"34,945",6.9 sec,157 km/h,340 km,,,Front,62.0 kWh,Lithium-ion,288,400 V,,NCM523,96s3p,350 V,340 km,174 Wh/km,0 g/km,1.9 l/100km,385 km,No Data,153 Wh/km,No Data,1.7 l/100km,176 Wh/km,246 Wh/km,207 Wh/km,117 Wh/km,190 Wh/km,151 Wh/km,,,160 kW (218 PS),340 Nm,,,,,,,59.0 kWh,,,,
2,Volkswagen ID.5 Pro Performance,Volkswagen,"52,185",8.4 sec,160 km/h,430 km,,,Rear,82.0 kWh,Lithium-ion,288,400 V,,NCM712,96s3p,350 V,430 km,179 Wh/km,0 g/km,2.0 l/100km,516 km,169 Wh/km,149 Wh/km,1.9 l/100km,1.7 l/100km,183 Wh/km,252 Wh/km,214 Wh/km,124 Wh/km,195 Wh/km,157 Wh/km,,,150 kW (204 PS),310 Nm,,,,,,,77.0 kWh,,,,
3,Hyundai IONIQ 6 Standard Range 2WD,Hyundai,,8.8 sec,185 km/h,365 km,,,Rear,58.0 kWh,Lithium-ion,288,800 V,54.0 kWh,No Data,144s2p,523 V,365 km,148 Wh/km,0 g/km,1.7 l/100km,429 km,139 Wh/km,126 Wh/km,1.6 l/100km,1.4 l/100km,159 Wh/km,208 Wh/km,180 Wh/km,102 Wh/km,157 Wh/km,127 Wh/km,,,111 kW (151 PS),350 Nm,,,,,,,,,,,
4,Volkswagen ID.5 GTX,Volkswagen,"56,545",6.3 sec,180 km/h,405 km,,,AWD,82.0 kWh,Lithium-ion,288,400 V,,No Data,96s3p,No Data,405 km,190 Wh/km,0 g/km,2.1 l/100km,480 km,207 Wh/km,160 Wh/km,2.3 l/100km,1.8 l/100km,193 Wh/km,261 Wh/km,223 Wh/km,131 Wh/km,205 Wh/km,166 Wh/km,,,220 kW (299 PS),460 Nm,,,,,,,77.0 kWh,,,,
5,Renault Twingo Electric,Renault,,12.6 sec,135 km/h,135 km,,,Rear,,Lithium-ion,No Data,400 V,,No Data,No Data,No Data,135 km,158 Wh/km,0 g/km,1.8 l/100km,190 km,163 Wh/km,112 Wh/km,1.8 l/100km,1.3 l/100km,158 Wh/km,237 Wh/km,194 Wh/km,104 Wh/km,178 Wh/km,137 Wh/km,23.0 kWh,,60 kW (82 PS),160 Nm,,,,,,,21.3 kWh,,,,
6,Peugeot e-308,Peugeot,"37,000",9.8 sec,170 km/h,300 km,,,Front,54.0 kWh,Lithium-ion,No Data,400 V,,NMC811,No Data,400 V,300 km,169 Wh/km,0 g/km,1.9 l/100km,410 km,No Data,124 Wh/km,No Data,1.4 l/100km,172 Wh/km,236 Wh/km,199 Wh/km,114 Wh/km,185 Wh/km,147 Wh/km,,,115 kW (156 PS),260 Nm,,,,,,,50.8 kWh,,,,
7,Mercedes EQB 300 4MATIC,Mercedes,"55,310",8.0 sec,160 km/h,,,,AWD,69.7 kWh,Lithium-ion,300,400 V,,No Data,100s3p,367 V,,,0 g/km,,395 km,194 Wh/km,168 Wh/km,2.2 l/100km,1.9 l/100km,,,,,,,,340 km,168 kW (228 PS),390 Nm,196 Wh/km,271 Wh/km,229 Wh/km,134 Wh/km,215 Wh/km,173 Wh/km,66.5 kWh,,,,
8,MG Marvel R,MG,,7.9 sec,200 km/h,335 km,,,Rear,,Lithium-ion,No Data,400 V,65.0 kWh,No Data,No Data,No Data,335 km,194 Wh/km,0 g/km,2.2 l/100km,402 km,194 Wh/km,162 Wh/km,2.2 l/100km,1.8 l/100km,191 Wh/km,277 Wh/km,228 Wh/km,131 Wh/km,217 Wh/km,171 Wh/km,69.9 kWh,,132 kW (179 PS),410 Nm,,,,,,,,,,,
9,Mercedes EQV 300 Long,Mercedes,"83,530",12.1 sec,160 km/h,,,,Front,100.0 kWh,Lithium-ion,288,400 V,,No Data,96s3p,352 V,,,0 g/km,,363 km,276 Wh/km,248 Wh/km,3.1 l/100km,2.8 l/100km,,,,,,,,310 km,150 kW (204 PS),362 Nm,273 Wh/km,409 Wh/km,333 Wh/km,200 Wh/km,333 Wh/km,261 Wh/km,90.0 kWh,,,,
10,MG Marvel R Performance,MG,,4.9 sec,200 km/h,330 km,,,AWD,,Lithium-ion,No Data,400 V,65.0 kWh,No Data,No Data,No Data,330 km,197 Wh/km,0 g/km,2.2 l/100km,370 km,209 Wh/km,176 Wh/km,2.3 l/100km,2.0 l/100km,197 Wh/km,283 Wh/km,232 Wh/km,134 Wh/km,220 Wh/km,176 Wh/km,69.9 kWh,,212 kW (288 PS),665 Nm,,,,,,,,,,,
11,NIO ET5 75 kWh,NIO,,4.0 sec,200 km/h,395 km,,,AWD,75.0 kWh,Lithium-ion,118,400 V,,LFP & NCM,118s1p,No Data,395 km,178 Wh/km,0 g/km,2.0 l/100km,419 km,205 Wh/km,168 Wh/km,2.3 l/100km,1.9 l/100km,186 Wh/km,247 Wh/km,210 Wh/km,125 Wh/km,191 Wh/km,155 Wh/km,,,360 kW (489 PS),700 Nm,,,,,,,70.5 kWh,,,,
12,Audi Q4 e-tron 50 quattro,Audi,"56,310",6.2 sec,180 km/h,385 km,,,AWD,82.0 kWh,Lithium-ion,288,400 V,,No Data,96s3p,No Data,385 km,199 Wh/km,0 g/km,2.2 l/100km,412 km,213 Wh/km,186 Wh/km,2.4 l/100km,2.1 l/100km,199 Wh/km,279 Wh/km,232 Wh/km,137 Wh/km,219 Wh/km,174 Wh/km,,,220 kW (299 PS),460 Nm,,,,,,,76.6 kWh,,,,
13,Mercedes EQA 250,Mercedes,,8.6 sec,160 km/h,,,,Front,69.7 kWh,Lithium-ion,300,400 V,,No Data,100s3p,367 V,,,0 g/km,,458 km,169 Wh/km,145 Wh/km,1.9 l/100km,1.6 l/100km,,,,,,,,395 km,140 kW (190 PS),385 Nm,173 Wh/km,238 Wh/km,199 Wh/km,114 Wh/km,182 Wh/km,146 Wh/km,66.5 kWh,,,,
14,Genesis GV70 Electrified Sport,Genesis,"64,405",4.2 sec,235 km/h,350 km,,,AWD,77.4 kWh,Lithium-ion,384,800 V,74.0 kWh,No Data,192s2p,697 V,350 km,211 Wh/km,0 g/km,2.4 l/100km,455 km,192 Wh/km,163 Wh/km,2.2 l/100km,1.8 l/100km,211 Wh/km,296 Wh/km,247 Wh/km,147 Wh/km,235 Wh/km,187 Wh/km,,,360 kW (489 PS),700 Nm,,,,,,,,,,,
15,Porsche Taycan 4S,Porsche,"86,500",4.0 sec,250 km/h,,,,AWD,79.2 kWh,Lithium-ion,336,800 V,,NCM712,168s2p,615 V,,,0 g/km,,335 km,256 Wh/km,212 Wh/km,2.9 l/100km,2.4 l/100km,,,,,,,,395 km,390 kW (530 PS),640 Nm,189 Wh/km,245 Wh/km,212 Wh/km,127 Wh/km,189 Wh/km,156 Wh/km,71.0 kWh,,,,
16,Peugeot e-208,Peugeot,"34,955",8.2 sec,150 km/h,310 km,,,Front,51.0 kWh,Lithium-ion,No Data,400 V,,No Data,No Data,No Data,310 km,155 Wh/km,0 g/km,1.7 l/100km,398 km,145 Wh/km,121 Wh/km,1.6 l/100km,1.4 l/100km,160 Wh/km,219 Wh/km,185 Wh/km,103 Wh/km,169 Wh/km,134 Wh/km,,,115 kW (156 PS),260 Nm,,,,,,,48.1 kWh,,,,
17,Skoda Enyaq iV 80x,Skoda,"51,765",6.9 sec,160 km/h,400 km,,,AWD,82.0 kWh,Lithium-ion,288,400 V,,No Data,96s3p,No Data,400 km,193 Wh/km,0 g/km,2.2 l/100km,496 km,174 Wh/km,155 Wh/km,2.0 l/100km,1.7 l/100km,195 Wh/km,266 Wh/km,226 Wh/km,133 Wh/km,208 Wh/km,167 Wh/km,,,195 kW (265 PS),425 Nm,,,,,,,77.0 kWh,,,,
18,Ford Mustang Mach-E ER RWD,Ford,"59,380",7.0 sec,180 km/h,,,,Rear,98.7 kWh,Lithium-ion,376,400 V,,No Data,94s4p,No Data,,,0 g/km,,600 km,173 Wh/km,152 Wh/km,1.9 l/100km,1.7 l/100km,,,,,,,,455 km,216 kW (294 PS),430 Nm,200 Wh/km,280 Wh/km,236 Wh/km,137 Wh/km,222 Wh/km,177 Wh/km,91.0 kWh,,,,
19,Lucid Air Pure,Lucid,,,200 km/h,560 km,,,Rear,,Lithium-ion,No Data,800 V,88.0 kWh,No Data,No Data,No Data,560 km,157 Wh/km,0 g/km,1.8 l/100km,,,,,,169 Wh/km,217 Wh/km,189 Wh/km,111 Wh/km,164 Wh/km,135 Wh/km,88.0 kWh,,320 kW (435 PS),550 Nm,,,,,,,,,,4.2 sec,
20,Honda e Advance,Honda,"36,920",8.3 sec,145 km/h,,,,Rear,35.5 kWh,Lithium-ion,192,400 V,28.5 kWh,No Data,96s2p,355 V,,,0 g/km,,222 km,172 Wh/km,128 Wh/km,1.9 l/100km,1.4 l/100km,,,,,,,,170 km,113 kW (154 PS),315 Nm,173 Wh/km,238 Wh/km,204 Wh/km,112 Wh/km,184 Wh/km,146 Wh/km,,,,,
21,Lexus UX 300e,Lexus,"34,770",7.5 sec,160 km/h,,,,Front,,Lithium-ion,288,400 V,45.0 kWh,No Data,96s3p,355 V,,,0 g/km,,305 km,170 Wh/km,148 Wh/km,1.9 l/100km,1.7 l/100km,,,,,,,54.3 kWh,235 km,150 kW (204 PS),300 Nm,191 Wh/km,273 Wh/km,225 Wh/km,129 Wh/km,214 Wh/km,167 Wh/km,,,,,
22,Nissan Ariya 63kWh,Nissan,"46,145",7.5 sec,160 km/h,330 km,,,Front,66.0 kWh,Lithium-ion,No Data,400 V,,NCM,No Data,No Data,330 km,191 Wh/km,0 g/km,2.1 l/100km,359 km,185 Wh/km,175 Wh/km,2.1 l/100km,2.0 l/100km,188 Wh/km,268 Wh/km,225 Wh/km,129 Wh/km,210 Wh/km,168 Wh/km,,,160 kW (218 PS),300 Nm,,,,,,,63.0 kWh,,,,
23,Jaguar I-Pace EV400,Jaguar,"69,995",4.8 sec,200 km/h,380 km,,,AWD,90.0 kWh,Lithium-ion,108,400 V,,NCM622,No Data,400 V,380 km,223 Wh/km,0 g/km,2.5 l/100km,408 km,252 Wh/km,208 Wh/km,2.8 l/100km,2.3 l/100km,220 Wh/km,314 Wh/km,261 Wh/km,154 Wh/km,249 Wh/km,197 Wh/km,,,294 kW (400 PS),696 Nm,,,,,,,84.7 kWh,,,,
24,Lucid Air Grand Touring,Lucid,,3.0 sec,270 km/h,675 km,,,AWD,,Lithium-ion,6600,800 V,112.0 kWh,No Data,220s30p,800 V,675 km,166 Wh/km,0 g/km,1.9 l/100km,783 km,161 Wh/km,143 Wh/km,1.8 l/100km,1.6 l/100km,179 Wh/km,226 Wh/km,200 Wh/km,119 Wh/km,174 Wh/km,145 Wh/km,112.0 kWh,,597 kW (812 PS),1200 Nm,,,,,,,,,,,
25,Mercedes EQE AMG 43 4MATIC,Mercedes,,4.2 sec,210 km/h,485 km,,,AWD,,Lithium-ion,360,400 V,,NCM811,90s4p,328 V,485 km,187 Wh/km,0 g/km,2.1 l/100km,463 km,224 Wh/km,196 Wh/km,2.5 l/100km,2.2 l/100km,195 Wh/km,255 Wh/km,221 Wh/km,132 Wh/km,197 Wh/km,163 Wh/km,100.0 kWh,,350 kW (476 PS),858 Nm,,,,,,,90.6 kWh,,,,
26,Volkswagen ID.4 GTX,Volkswagen,"52,865",6.3 sec,180 km/h,400 km,,,AWD,82.0 kWh,Lithium-ion,288,400 V,,No Data,96s3p,No Data,400 km,193 Wh/km,0 g/km,2.2 l/100km,490 km,180 Wh/km,157 Wh/km,2.0 l/100km,1.8 l/100km,195 Wh/km,270 Wh/km,226 Wh/km,134 Wh/km,211 Wh/km,169 Wh/km,,,220 kW (299 PS),460 Nm,,,,,,,77.0 kWh,,,,
27,Mercedes EQS 500 4MATIC,Mercedes,,4.8 sec,210 km/h,605 km,,,AWD,,Lithium-ion,432,400 V,,NCM811,108s4p,396 V,605 km,178 Wh/km,0 g/km,2.0 l/100km,588 km,212 Wh/km,183 Wh/km,2.4 l/100km,2.1 l/100km,189 Wh/km,242 Wh/km,211 Wh/km,128 Wh/km,186 Wh/km,154 Wh/km,120.0 kWh,,330 kW (449 PS),855 Nm,,,,,,,107.8 kWh,,,,
28,Polestar 2 Long Range Dual Motor,Polestar,"52,950",4.5 sec,205 km/h,420 km,,,AWD,82.0 kWh,Lithium-ion,324,400 V,,NCM,108s3p,400 V,420 km,186 Wh/km,0 g/km,2.1 l/100km,551 km,No Data,142 Wh/km,No Data,1.6 l/100km,190 Wh/km,260 Wh/km,220 Wh/km,129 Wh/km,203 Wh/km,163 Wh/km,,,310 kW (421 PS),740 Nm,,,,,,,78.0 kWh,,,,
29,BMW i7 M70 xDrive,BMW,"175,000",3.7 sec,250 km/h,490 km,,,AWD,105.7 kWh,Lithium-ion,No Data,400 V,,No Data,No Data,376 V,490 km,208 Wh/km,0 g/km,2.3 l/100km,488 km,238 Wh/km,208 Wh/km,2.7 l/100km,2.3 l/100km,214 Wh/km,286 Wh/km,245 Wh/km,148 Wh/km,224 Wh/km,183 Wh/km,,,485 kW (659 PS),1100 Nm,,,,,,,101.7 kWh,,,,
30,XPENG P7 Wing Edition,XPENG,,4.1 sec,200 km/h,465 km,,,AWD,86.2 kWh,Lithium-ion,No Data,400 V,,NCM,No Data,No Data,465 km,178 Wh/km,0 g/km,2.0 l/100km,505 km,192 Wh/km,164 Wh/km,2.2 l/100km,1.8 l/100km,186 Wh/km,247 Wh/km,212 Wh/km,125 Wh/km,190 Wh/km,155 Wh/km,,,348 kW (473 PS),757 Nm,,,,,,,82.7 kWh,,,,
31,Volvo EX90 Twin Motor Performance,Volvo,"100,555",4.9 sec,180 km/h,440 km,,,AWD,111.0 kWh,Lithium-ion,204,400 V,,NMC,102s2p,No Data,440 km,243 Wh/km,0 g/km,2.7 l/100km,580 km,211 Wh/km,184 Wh/km,2.4 l/100km,2.1 l/100km,238 Wh/km,334 Wh/km,282 Wh/km,170 Wh/km,268 Wh/km,216 Wh/km,,,380 kW (517 PS),910 Nm,,,,,,,107.0 kWh,,,,
32,Mercedes EQE SUV 500 4MATIC,Mercedes,"108,760",4.9 sec,210 km/h,455 km,,,AWD,,Lithium-ion,360,400 V,,NCM811,90s4p,328 V,455 km,199 Wh/km,0 g/km,2.2 l/100km,460 km,227 Wh/km,197 Wh/km,2.6 l/100km,2.2 l/100km,204 Wh/km,275 Wh/km,235 Wh/km,139 Wh/km,216 Wh/km,176 Wh/km,100.0 kWh,,300 kW (408 PS),858 Nm,,,,,,,90.6 kWh,,,,
33,Volvo C40 Recharge Twin Motor,Volvo,"53,605",4.7 sec,180 km/h,400 km,,,AWD,82.0 kWh,Lithium-ion,324,400 V,,NCM,108s3p,400 V,400 km,198 Wh/km,0 g/km,2.2 l/100km,536 km,177 Wh/km,147 Wh/km,2.0 l/100km,1.7 l/100km,198 Wh/km,277 Wh/km,232 Wh/km,135 Wh/km,216 Wh/km,174 Wh/km,,,300 kW (408 PS),670 Nm,,,,,,,79.0 kWh,,,,
34,Mercedes EQS SUV 450+,Mercedes,,6.7 sec,210 km/h,500 km,,,Rear,,Lithium-ion,432,400 V,,NCM811,108s4p,396 V,500 km,217 Wh/km,0 g/km,2.4 l/100km,540 km,229 Wh/km,201 Wh/km,2.6 l/100km,2.3 l/100km,217 Wh/km,301 Wh/km,252 Wh/km,151 Wh/km,238 Wh/km,192 Wh/km,120.0 kWh,,265 kW (360 PS),568 Nm,,,,,,,108.4 kWh,,,,
35,NIO ET7 100 kWh,NIO,,3.8 sec,200 km/h,505 km,,,AWD,100.0 kWh,Lithium-ion,96,400 V,,NCM,96s1p,No Data,505 km,178 Wh/km,0 g/km,2.0 l/100km,505 km,218 Wh/km,178 Wh/km,2.4 l/100km,2.0 l/100km,189 Wh/km,243 Wh/km,212 Wh/km,128 Wh/km,188 Wh/km,155 Wh/km,,,480 kW (653 PS),850 Nm,,,,,,,90.0 kWh,,,,
36,Skoda Enyaq Coupe iV 80,Skoda,"44,770",8.7 sec,160 km/h,445 km,,,Rear,82.0 kWh,Lithium-ion,288,400 V,,NCM712,96s3p,350 V,445 km,173 Wh/km,0 g/km,1.9 l/100km,542 km,No Data,142 Wh/km,No Data,1.6 l/100km,179 Wh/km,241 Wh/km,205 Wh/km,119 Wh/km,186 Wh/km,150 Wh/km,,,150 kW (204 PS),310 Nm,,,,,,,77.0 kWh,,,,
