,Model,Brand,Price_in_Pounds,Acceleration 0 - 100 km/h,Top Speed,Electric Range *,Total Power *,Total Torque *,Drive,Nominal Capacity,Battery Type,Number of Cells,Architecture,Useable Capacity*,Cathode Material,Pack Configuration,Nominal Voltage,Range *,Vehicle Consumption *,CO2 Emissions,Vehicle Fuel Equivalent *,Range,Rated Consumption,Vehicle Consumption,Rated Fuel Equivalent,Vehicle Fuel Equivalent,City - Cold Weather *,Highway - Cold Weather *,Combined - Cold Weather *,City - Mild Weather *,Highway - Mild Weather *,Combined - Mild Weather *,"Nominal Capacity							*",Electric Range,Total Power,Total Torque,City - Cold Weather,Highway - Cold Weather,Combined - Cold Weather,City - Mild Weather,Highway - Mild Weather,Combined - Mild Weather,Useable Capacity,Rated Consumption *,Rated Fuel Equivalent *,Acceleration 0 - 100 km/h *,Top Speed *
37,XPENG G9 RWD Standard Range,XPENG,,6.4 sec,200 km/h,375 km,,,Rear,78.2 kWh,Lithium-ion,No Data,800 V,75.0 kWh,LFP,No Data,No Data,375 km,200 Wh/km,0 g/km,2.2 l/100km,460 km,194 Wh/km,163 Wh/km,2.2 l/100km,1.8 l/100km,200 Wh/km,278 Wh/km,234 Wh/km,138 Wh/km,221 Wh/km,176 Wh/km,,,230 kW (313 PS),430 Nm,,,,,,,,,,,
38,Kia EV9 99.8 kWh RWD,Kia,"60,000",9.4 sec,,460 km,,,Rear,,Lithium-ion,No Data,800 V,99.8 kWh,No Data,No Data,No Data,460 km,217 Wh/km,0 g/km,2.4 l/100km,541 km,No Data,184 Wh/km,No Data,2.1 l/100km,215 Wh/km,302 Wh/km,253 Wh/km,150 Wh/km,240 Wh/km,192 Wh/km,105.0 kWh,,150 kW (204 PS),350 Nm,,,,,,,,,,,180 km/h
39,NIO EL7 100 kWh,NIO,,3.9 sec,200 km/h,430 km,,,AWD,100.0 kWh,Lithium-ion,96,400 V,,NCM,96s1p,No Data,430 km,209 Wh/km,0 g/km,2.4 l/100km,486 km,227 Wh/km,185 Wh/km,2.6 l/100km,2.1 l/100km,209 Wh/km,290 Wh/km,247 Wh/km,146 Wh/km,231 Wh/km,186 Wh/km,,,480 kW (653 PS),850 Nm,,,,,,,90.0 kWh,,,,
0,Renault Megane E-Tech EV40 130hp,Renault,,10.0 sec,150 km/h,260 km,,,Front,43.3 kWh,Lithium-ion,192,400 V,,NCM,96s2p,352 V,260 km,154 Wh/km,0 g/km,1.7 l/100km,292 km,No Data,137 Wh/km,No Data,1.5 l/100km,157 Wh/km,216 Wh/km,186 Wh/km,103 Wh/km,167 Wh/km,133 Wh/km,,,96 kW (131 PS),250 Nm,,,,,,,40.0 kWh,,,,
1,Lucid Air Dream Edition P,Lucid,,2.7 sec,270 km/h,,,,AWD,,Lithium-ion,6600,800 V,118.0 kWh,No Data,220s30p,800 V,,,0 g/km,,799 km,166 Wh/km,148 Wh/km,1.9 l/100km,1.7 l/100km,,,,,,,118.0 kWh,685 km,828 kW (1126 PS),1390 Nm,184 Wh/km,234 Wh/km,205 Wh/km,123 Wh/km,180 Wh/km,149 Wh/km,,,,,
2,Renault Megane E-Tech EV60 130hp,Renault,,10.5 sec,150 km/h,380 km,,,Front,65.0 kWh,Lithium-ion,288,400 V,,NCM,96s3p,352 V,380 km,158 Wh/km,0 g/km,1.8 l/100km,448 km,No Data,134 Wh/km,No Data,1.5 l/100km,162 Wh/km,222 Wh/km,188 Wh/km,105 Wh/km,171 Wh/km,135 Wh/km,,,96 kW (131 PS),250 Nm,,,,,,,60.0 kWh,,,,
3,Maxus MIFA 9,Maxus,"64,306",9.2 sec,180 km/h,345 km,,,Front,,Lithium-ion,No Data,400 V,90.0 kWh,No Data,No Data,No Data,345 km,261 Wh/km,0 g/km,2.9 l/100km,430 km,213 Wh/km,209 Wh/km,2.4 l/100km,2.4 l/100km,247 Wh/km,367 Wh/km,300 Wh/km,176 Wh/km,300 Wh/km,234 Wh/km,93.0 kWh,,180 kW (245 PS),350 Nm,,,,,,,,,,,
4,Mercedes EQE 500 4MATIC,Mercedes,,4.7 sec,210 km/h,500 km,,,AWD,,Lithium-ion,360,400 V,,NCM811,90s4p,328 V,500 km,181 Wh/km,0 g/km,2.0 l/100km,505 km,209 Wh/km,179 Wh/km,2.3 l/100km,2.0 l/100km,191 Wh/km,248 Wh/km,216 Wh/km,129 Wh/km,193 Wh/km,159 Wh/km,100.0 kWh,,300 kW (408 PS),858 Nm,,,,,,,90.6 kWh,,,,
5,Mercedes EQA 350 4MATIC,Mercedes,"54,510",6.0 sec,160 km/h,,,,AWD,69.7 kWh,Lithium-ion,300,400 V,,No Data,100s3p,367 V,,,0 g/km,,411 km,185 Wh/km,162 Wh/km,2.1 l/100km,1.8 l/100km,,,,,,,,350 km,215 kW (292 PS),520 Nm,193 Wh/km,266 Wh/km,225 Wh/km,130 Wh/km,208 Wh/km,166 Wh/km,66.5 kWh,,,,
6,XPENG G9 RWD Long Range,XPENG,,6.4 sec,200 km/h,470 km,,,Rear,98.0 kWh,Lithium-ion,No Data,800 V,94.0 kWh,NCM,No Data,No Data,470 km,200 Wh/km,0 g/km,2.2 l/100km,570 km,194 Wh/km,165 Wh/km,2.2 l/100km,1.9 l/100km,200 Wh/km,281 Wh/km,235 Wh/km,137 Wh/km,219 Wh/km,176 Wh/km,,,230 kW (313 PS),430 Nm,,,,,,,,,,,
7,Skoda Enyaq iV 50,Skoda,,11.3 sec,160 km/h,295 km,,,Rear,55.0 kWh,Lithium-ion,192,400 V,,NCM712,96s2p,350 V,295 km,176 Wh/km,0 g/km,2.0 l/100km,340 km,No Data,153 Wh/km,No Data,1.7 l/100km,179 Wh/km,248 Wh/km,212 Wh/km,121 Wh/km,193 Wh/km,155 Wh/km,,,109 kW (148 PS),220 Nm,,,,,,,52.0 kWh,,,,
8,Volvo EX90 Twin Motor,Volvo,"96,255",5.9 sec,180 km/h,455 km,,,AWD,111.0 kWh,Lithium-ion,204,400 V,,NMC,102s2p,No Data,455 km,235 Wh/km,0 g/km,2.6 l/100km,585 km,209 Wh/km,183 Wh/km,2.3 l/100km,2.1 l/100km,233 Wh/km,324 Wh/km,274 Wh/km,165 Wh/km,258 Wh/km,208 Wh/km,,,300 kW (408 PS),770 Nm,,,,,,,107.0 kWh,,,,
9,Porsche Taycan 4 Cross Turismo,Porsche,"84,500",5.1 sec,220 km/h,420 km,,,AWD,93.4 kWh,Lithium-ion,396,800 V,,NCM712,198s2p,725 V,420 km,199 Wh/km,0 g/km,2.2 l/100km,389 km,264 Wh/km,215 Wh/km,3.0 l/100km,2.4 l/100km,204 Wh/km,274 Wh/km,236 Wh/km,140 Wh/km,215 Wh/km,174 Wh/km,,,350 kW (476 PS),500 Nm,,,,,,,83.7 kWh,,,,
10,Maserati GranTurismo Folgore,Maserati,"200,000",2.7 sec,320 km/h,425 km,,,AWD,92.5 kWh,Lithium-ion,No Data,800 V,,No Data,No Data,No Data,425 km,195 Wh/km,0 g/km,2.2 l/100km,,,,,,202 Wh/km,268 Wh/km,231 Wh/km,138 Wh/km,210 Wh/km,171 Wh/km,,,560 kW (761 PS),1350 Nm,,,,,,,83.0 kWh,,,,
11,ORA Funky Cat 63 kWh,ORA,,8.2 sec,160 km/h,340 km,,,Front,63.1 kWh,Lithium-ion,No Data,400 V,,NMC,No Data,No Data,340 km,174 Wh/km,0 g/km,2.0 l/100km,420 km,165 Wh/km,141 Wh/km,1.9 l/100km,1.6 l/100km,174 Wh/km,247 Wh/km,208 Wh/km,116 Wh/km,194 Wh/km,152 Wh/km,,,126 kW (171 PS),250 Nm,,,,,,,59.3 kWh,,,,
12,Kia EV6 Standard Range 2WD,Kia,,8.5 sec,185 km/h,305 km,,,Rear,58.0 kWh,Lithium-ion,288,800 V,54.0 kWh,No Data,144s2p,523 V,305 km,177 Wh/km,0 g/km,2.0 l/100km,394 km,166 Wh/km,137 Wh/km,1.9 l/100km,1.5 l/100km,180 Wh/km,251 Wh/km,212 Wh/km,120 Wh/km,193 Wh/km,154 Wh/km,,,125 kW (170 PS),350 Nm,,,,,,,,,,,
13,Volvo C40 Recharge Single Motor,Volvo,"48,355",7.3 sec,180 km/h,355 km,,,Rear,69.0 kWh,Lithium-ion,288,400 V,,NCM,96s3p,355 V,355 km,186 Wh/km,0 g/km,2.1 l/100km,466 km,169 Wh/km,142 Wh/km,1.9 l/100km,1.6 l/100km,186 Wh/km,264 Wh/km,220 Wh/km,127 Wh/km,206 Wh/km,163 Wh/km,,,175 kW (238 PS),420 Nm,,,,,,,66.0 kWh,,,,
14,Aiways U5,Aiways,,7.5 sec,,315 km,,,Front,,Lithium-ion,No Data,400 V,60.0 kWh,No Data,No Data,No Data,315 km,190 Wh/km,0 g/km,2.1 l/100km,384 km,174 Wh/km,156 Wh/km,2.0 l/100km,1.8 l/100km,188 Wh/km,267 Wh/km,222 Wh/km,128 Wh/km,211 Wh/km,167 Wh/km,63.0 kWh,,150 kW (204 PS),310 Nm,,,,,,,,,,,150 km/h
15,VinFast VF 9 Extended Range,VinFast,,6.5 sec,200 km/h,520 km,,,AWD,,Lithium-ion,No Data,400 V,,No Data,No Data,No Data,520 km,237 Wh/km,0 g/km,2.7 l/100km,580 km,No Data,212 Wh/km,No Data,2.4 l/100km,232 Wh/km,328 Wh/km,276 Wh/km,165 Wh/km,262 Wh/km,210 Wh/km,128.0 kWh,,300 kW (408 PS),620 Nm,,,,,,,123.0 kWh,,,,
16,Audi Q4 e-tron 45 quattro,Audi,,6.9 sec,180 km/h,385 km,,,AWD,82.0 kWh,Lithium-ion,288,400 V,,No Data,96s3p,No Data,385 km,199 Wh/km,0 g/km,2.2 l/100km,412 km,213 Wh/km,186 Wh/km,2.4 l/100km,2.1 l/100km,199 Wh/km,279 Wh/km,232 Wh/km,137 Wh/km,219 Wh/km,174 Wh/km,,,195 kW (265 PS),425 Nm,,,,,,,76.6 kWh,,,,
17,Mercedes EQE 350 4MATIC,Mercedes,,6.3 sec,210 km/h,500 km,,,AWD,,Lithium-ion,360,400 V,,NCM811,90s4p,328 V,500 km,181 Wh/km,0 g/km,2.0 l/100km,507 km,208 Wh/km,179 Wh/km,2.3 l/100km,2.0 l/100km,191 Wh/km,248 Wh/km,216 Wh/km,129 Wh/km,193 Wh/km,158 Wh/km,100.0 kWh,,215 kW (292 PS),765 Nm,,,,,,,90.6 kWh,,,,
18,Genesis GV60 Premium,Genesis,"53,905",7.8 sec,185 km/h,390 km,,,Rear,77.4 kWh,Lithium-ion,384,800 V,74.0 kWh,No Data,192s2p,697 V,390 km,190 Wh/km,0 g/km,2.1 l/100km,517 km,170 Wh/km,143 Wh/km,1.9 l/100km,1.6 l/100km,190 Wh/km,269 Wh/km,224 Wh/km,129 Wh/km,208 Wh/km,166 Wh/km,,,168 kW (228 PS),350 Nm,,,,,,,,,,,
19,Mercedes EQA 300 4MATIC,Mercedes,"53,010",7.7 sec,160 km/h,,,,AWD,69.7 kWh,Lithium-ion,300,400 V,,No Data,100s3p,367 V,,,0 g/km,,411 km,185 Wh/km,162 Wh/km,2.1 l/100km,1.8 l/100km,,,,,,,,350 km,168 kW (228 PS),390 Nm,193 Wh/km,266 Wh/km,225 Wh/km,130 Wh/km,208 Wh/km,166 Wh/km,66.5 kWh,,,,
20,SsangYong Korando e-Motion,SsangYong,"31,995",,156 km/h,290 km,,,Front,61.5 kWh,Lithium-ion,No Data,400 V,56.0 kWh,No Data,No Data,No Data,290 km,193 Wh/km,0 g/km,2.2 l/100km,339 km,168 Wh/km,165 Wh/km,1.9 l/100km,1.9 l/100km,190 Wh/km,273 Wh/km,224 Wh/km,129 Wh/km,211 Wh/km,167 Wh/km,,,140 kW (190 PS),360 Nm,,,,,,,,,,8.5 sec,
21,Porsche Taycan Plus,Porsche,"79,549",5.4 sec,230 km/h,,,,Rear,93.4 kWh,Lithium-ion,396,800 V,,NCM712,198s2p,725 V,,,0 g/km,,407 km,254 Wh/km,206 Wh/km,2.9 l/100km,2.3 l/100km,,,,,,,,475 km,350 kW (476 PS),357 Nm,186 Wh/km,243 Wh/km,209 Wh/km,125 Wh/km,186 Wh/km,154 Wh/km,83.7 kWh,,,,
22,Peugeot e-308 SW,Peugeot,"38,000",,,300 km,,,Front,54.0 kWh,Lithium-ion,No Data,400 V,,NMC811,No Data,400 V,400 km,127 Wh/km,0 g/km,1.4 l/100km,,,,,,172 Wh/km,236 Wh/km,199 Wh/km,114 Wh/km,185 Wh/km,147 Wh/km,,,115 kW (156 PS),260 Nm,,,,,,,50.8 kWh,No Data,No Data,9.0 sec,150 km/h
23,Seres 3,Seres,,8.9 sec,155 km/h,260 km,,,Front,53.6 kWh,Lithium-ion,288,400 V,51.0 kWh,No Data,96s3p,350 V,260 km,196 Wh/km,0 g/km,2.2 l/100km,310 km,191 Wh/km,165 Wh/km,2.1 l/100km,1.8 l/100km,192 Wh/km,283 Wh/km,232 Wh/km,132 Wh/km,222 Wh/km,173 Wh/km,,,120 kW (163 PS),300 Nm,,,,,,,,,,,
24,ORA Funky Cat 48 kWh,ORA,"31,995",8.3 sec,160 km/h,260 km,,,Front,47.8 kWh,Lithium-ion,No Data,400 V,,LFP,No Data,No Data,260 km,175 Wh/km,0 g/km,2.0 l/100km,310 km,167 Wh/km,146 Wh/km,1.9 l/100km,1.6 l/100km,175 Wh/km,252 Wh/km,206 Wh/km,116 Wh/km,193 Wh/km,154 Wh/km,,,126 kW (171 PS),250 Nm,,,,,,,45.4 kWh,,,,
25,Aiways U6,Aiways,,7.0 sec,,350 km,,,Front,,Lithium-ion,No Data,400 V,60.0 kWh,No Data,No Data,No Data,350 km,171 Wh/km,0 g/km,1.9 l/100km,400 km,159 Wh/km,150 Wh/km,1.8 l/100km,1.7 l/100km,174 Wh/km,240 Wh/km,203 Wh/km,117 Wh/km,188 Wh/km,150 Wh/km,63.0 kWh,,160 kW (218 PS),315 Nm,,,,,,,,,,,160 km/h
26,Hongqi E-HS9 84 kWh,Hongqi,,6.5 sec,200 km/h,305 km,,,AWD,84.0 kWh,Lithium-ion,No Data,400 V,,No Data,No Data,350 V,305 km,251 Wh/km,0 g/km,2.8 l/100km,396 km,216 Wh/km,193 Wh/km,2.4 l/100km,2.2 l/100km,239 Wh/km,348 Wh/km,289 Wh/km,172 Wh/km,283 Wh/km,225 Wh/km,,,320 kW (435 PS),600 Nm,,,,,,,76.5 kWh,,,,
27,Fiat 500e Hatchback 24 kWh,Fiat,"23,835",9.0 sec,135 km/h,135 km,,,Front,23.8 kWh,Lithium-ion,108,400 V,,No Data,108s1p,400 V,135 km,158 Wh/km,0 g/km,1.8 l/100km,190 km,130 Wh/km,112 Wh/km,1.5 l/100km,1.3 l/100km,158 Wh/km,224 Wh/km,185 Wh/km,101 Wh/km,170 Wh/km,133 Wh/km,,,70 kW (95 PS),220 Nm,,,,,,,21.3 kWh,,,,
28,Volkswagen ID.4 Pure Performance,Volkswagen,"40,275",9.0 sec,160 km/h,,,,Rear,55.0 kWh,Lithium-ion,192,400 V,,NCM712,96s2p,350 V,,,0 g/km,,341 km,170 Wh/km,152 Wh/km,1.9 l/100km,1.7 l/100km,,,,,,,,285 km,125 kW (170 PS),310 Nm,186 Wh/km,260 Wh/km,217 Wh/km,124 Wh/km,200 Wh/km,160 Wh/km,52.0 kWh,,,,
29,Audi Q8 e-tron Sportback 50 quattro,Audi,"70,300",6.0 sec,200 km/h,445 km,,,AWD,95.0 kWh,Lithium-ion,No Data,400 V,,No Data,No Data,No Data,445 km,200 Wh/km,0 g/km,2.2 l/100km,415 km,237 Wh/km,214 Wh/km,2.7 l/100km,2.4 l/100km,207 Wh/km,274 Wh/km,237 Wh/km,141 Wh/km,214 Wh/km,176 Wh/km,,,250 kW (340 PS),664 Nm,,,,,,,89.0 kWh,,,,
30,Mercedes EQE AMG 53 4MATIC+,Mercedes,"114,750",3.5 sec,220 km/h,480 km,,,AWD,,Lithium-ion,360,400 V,,NCM811,90s4p,328 V,480 km,189 Wh/km,0 g/km,2.1 l/100km,459 km,226 Wh/km,197 Wh/km,2.5 l/100km,2.2 l/100km,197 Wh/km,259 Wh/km,224 Wh/km,134 Wh/km,201 Wh/km,166 Wh/km,100.0 kWh,,460 kW (625 PS),950 Nm,,,,,,,90.6 kWh,,,,
31,Volvo C40 Recharge Single Motor ER,Volvo,,7.3 sec,180 km/h,420 km,,,Rear,82.0 kWh,Lithium-ion,324,400 V,,NCM,108s3p,400 V,420 km,188 Wh/km,0 g/km,2.1 l/100km,566 km,167 Wh/km,140 Wh/km,1.9 l/100km,1.6 l/100km,188 Wh/km,268 Wh/km,223 Wh/km,128 Wh/km,208 Wh/km,166 Wh/km,,,185 kW (252 PS),420 Nm,,,,,,,79.0 kWh,,,,
32,Ford Mustang Mach-E ER AWD,Ford,"65,405",5.8 sec,180 km/h,,,,AWD,98.7 kWh,Lithium-ion,376,400 V,,No Data,94s4p,No Data,,,0 g/km,,550 km,188 Wh/km,165 Wh/km,2.1 l/100km,1.9 l/100km,,,,,,,,440 km,258 kW (351 PS),580 Nm,204 Wh/km,289 Wh/km,243 Wh/km,142 Wh/km,228 Wh/km,182 Wh/km,91.0 kWh,,,,
33,ORA Funky Cat GT,ORA,,8.2 sec,160 km/h,330 km,,,Front,63.1 kWh,Lithium-ion,No Data,400 V,,NMC,No Data,No Data,330 km,180 Wh/km,0 g/km,2.0 l/100km,400 km,168 Wh/km,148 Wh/km,1.9 l/100km,1.7 l/100km,177 Wh/km,258 Wh/km,212 Wh/km,120 Wh/km,201 Wh/km,158 Wh/km,,,126 kW (171 PS),250 Nm,,,,,,,59.3 kWh,,,,
34,Opel Astra Sports Tourer Electric,Opel,"37,000",,170 km/h,300 km,,,Front,54.0 kWh,Lithium-ion,102,400 V,,NMC811,102s1p,377 V,300 km,169 Wh/km,0 g/km,1.9 l/100km,416 km,149 Wh/km,122 Wh/km,1.7 l/100km,1.4 l/100km,172 Wh/km,236 Wh/km,199 Wh/km,114 Wh/km,185 Wh/km,147 Wh/km,,,115 kW (156 PS),270 Nm,,,,,,,50.8 kWh,,,8.5 sec,
35,MG MG5 Electric Standard Range,MG,,7.7 sec,185 km/h,265 km,,,Front,50.3 kWh,Lithium-ion,No Data,400 V,46.0 kWh,LFP,No Data,No Data,265 km,174 Wh/km,0 g/km,2.0 l/100km,310 km,184 Wh/km,148 Wh/km,2.1 l/100km,1.7 l/100km,174 Wh/km,242 Wh/km,204 Wh/km,115 Wh/km,192 Wh/km,151 Wh/km,,,130 kW (177 PS),280 Nm,,,,,,,,,,,
36,Skoda Enyaq iV RS,Skoda,,6.2 sec,180 km/h,390 km,,460 Nm,AWD,82.0 kWh,Lithium-ion,288,400 V,,No Data,96s3p,No Data,460 km,167 Wh/km,0 g/km,1.9 l/100km,,,,,,200 Wh/km,275 Wh/km,233 Wh/km,138 Wh/km,217 Wh/km,175 Wh/km,,,220 kW (299 PS),,,,,,,,77.0 kWh,No Data,No Data,,
37,Ford Mustang Mach-E GT,Ford,"74,540",4.4 sec,200 km/h,,,,AWD,98.7 kWh,Lithium-ion,376,400 V,,No Data,94s4p,No Data,,,0 g/km,,490 km,212 Wh/km,186 Wh/km,2.4 l/100km,2.1 l/100km,,,,,,,,425 km,358 kW (487 PS),860 Nm,212 Wh/km,298 Wh/km,249 Wh/km,148 Wh/km,236 Wh/km,190 Wh/km,91.0 kWh,,,,
38,Audi Q4 Sportback e-tron 40,Audi,"51,430",8.5 sec,160 km/h,425 km,,,Rear,82.0 kWh,Lithium-ion,288,400 V,,No Data,96s3p,No Data,425 km,180 Wh/km,0 g/km,2.0 l/100km,460 km,196 Wh/km,167 Wh/km,2.2 l/100km,1.9 l/100km,185 Wh/km,251 Wh/km,213 Wh/km,125 Wh/km,196 Wh/km,158 Wh/km,,,150 kW (204 PS),310 Nm,,,,,,,76.6 kWh,,,,
39,Maserati Grecale Folgore,Maserati,"135,000",4.1 sec,220 km/h,405 km,,,AWD,105.0 kWh,Lithium-ion,No Data,400 V,95.0 kWh,No Data,No Data,No Data,500 km,190 Wh/km,0 g/km,2.1 l/100km,,,,,,232 Wh/km,328 Wh/km,275 Wh/km,164 Wh/km,260 Wh/km,209 Wh/km,,,410 kW (557 PS),820 Nm,,,,,,,,No Data,No Data,,
0,Mercedes EQS 450 4MATIC,Mercedes,,5.6 sec,210 km/h,615 km,,,AWD,,Lithium-ion,432,400 V,,NCM811,108s4p,396 V,615 km,175 Wh/km,0 g/km,2.0 l/100km,631 km,212 Wh/km,171 Wh/km,2.4 l/100km,1.9 l/100km,187 Wh/km,240 Wh/km,209 Wh/km,126 Wh/km,184 Wh/km,153 Wh/km,120.0 kWh,,265 kW (360 PS),800 Nm,,,,,,,107.8 kWh,,,,
1,Renault Kangoo E-Tech Electric,Renault,,12.6 sec,132 km/h,215 km,,,Front,45.0 kWh,Lithium-ion,No Data,400 V,,No Data,No Data,No Data,215 km,205 Wh/km,0 g/km,2.3 l/100km,285 km,192 Wh/km,154 Wh/km,2.2 l/100km,1.7 l/100km,200 Wh/km,293 Wh/km,238 Wh/km,138 Wh/km,232 Wh/km,180 Wh/km,,,51 kW (69 PS),245 Nm,,,,,,,44.0 kWh,,,,
2,Ford Mustang Mach-E SR RWD,Ford,"50,830",6.9 sec,180 km/h,,,,Rear,75.7 kWh,Lithium-ion,288,400 V,,No Data,96s3p,No Data,,,0 g/km,,440 km,172 Wh/km,159 Wh/km,1.9 l/100km,1.8 l/100km,,,,,,,,355 km,198 kW (269 PS),430 Nm,194 Wh/km,275 Wh/km,230 Wh/km,133 Wh/km,219 Wh/km,173 Wh/km,70.0 kWh,,,,
3,DS 3 E-Tense,DS,"37,200",9.0 sec,150 km/h,300 km,,,Front,54.0 kWh,Lithium-ion,102,400 V,,NMC811,102s1p,377 V,300 km,169 Wh/km,0 g/km,1.9 l/100km,396 km,156 Wh/km,128 Wh/km,1.8 l/100km,1.4 l/100km,169 Wh/km,242 Wh/km,199 Wh/km,113 Wh/km,185 Wh/km,147 Wh/km,,,115 kW (156 PS),260 Nm,,,,,,,50.8 kWh,,,,
4,Genesis G80 Electrified Luxury,Genesis,"69,805",4.9 sec,225 km/h,440 km,,,AWD,87.2 kWh,Lithium-ion,No Data,800 V,82.5 kWh,No Data,No Data,No Data,440 km,188 Wh/km,0 g/km,2.1 l/100km,520 km,191 Wh/km,159 Wh/km,2.1 l/100km,1.8 l/100km,194 Wh/km,258 Wh/km,223 Wh/km,131 Wh/km,201 Wh/km,163 Wh/km,,,272 kW (370 PS),700 Nm,,,,,,,,,,,
5,Hyundai Kona Electric 48 kWh,Hyundai,"35,000",,,300 km,,,Front,,Lithium-ion,No Data,400 V,,No Data,No Data,No Data,300 km,161 Wh/km,0 g/km,1.8 l/100km,342 km,151 Wh/km,142 Wh/km,1.7 l/100km,1.6 l/100km,164 Wh/km,230 Wh/km,194 Wh/km,108 Wh/km,176 Wh/km,138 Wh/km,51.0 kWh,,115 kW (156 PS),255 Nm,,,,,,,48.4 kWh,,,10.0 sec,155 km/h
6,Porsche Taycan 4S Plus,Porsche,"90,406",4.0 sec,250 km/h,,,,AWD,93.4 kWh,Lithium-ion,396,800 V,,NCM712,198s2p,725 V,,,0 g/km,,389 km,260 Wh/km,215 Wh/km,2.9 l/100km,2.4 l/100km,,,,,,,,460 km,420 kW (571 PS),650 Nm,192 Wh/km,250 Wh/km,217 Wh/km,130 Wh/km,192 Wh/km,159 Wh/km,83.7 kWh,,,,
7,Mercedes EQS SUV 450 4MATIC,Mercedes,"129,170",6.0 sec,210 km/h,490 km,,,AWD,,Lithium-ion,432,400 V,,NCM811,108s4p,396 V,490 km,221 Wh/km,0 g/km,2.5 l/100km,511 km,243 Wh/km,212 Wh/km,2.7 l/100km,2.4 l/100km,221 Wh/km,310 Wh/km,261 Wh/km,156 Wh/km,244 Wh/km,197 Wh/km,120.0 kWh,,265 kW (360 PS),800 Nm,,,,,,,108.4 kWh,,,,
8,Lotus Eletre R,Lotus,"120,000",2.9 sec,260 km/h,450 km,,,AWD,,Lithium-ion,No Data,800 V,107.0 kWh,No Data,No Data,No Data,500 km,214 Wh/km,0 g/km,2.4 l/100km,,,,,,238 Wh/km,329 Wh/km,278 Wh/km,169 Wh/km,264 Wh/km,212 Wh/km,112.0 kWh,,675 kW (918 PS),985 Nm,,,,,,,,No Data,No Data,,
9,Polestar 3 Long Range Performance,Polestar,"85,500",4.7 sec,210 km/h,470 km,,,AWD,111.0 kWh,Lithium-ion,204,400 V,,NMC,102s2p,No Data,560 km,191 Wh/km,0 g/km,2.1 l/100km,,,,,,228 Wh/km,315 Wh/km,268 Wh/km,160 Wh/km,252 Wh/km,202 Wh/km,,,380 kW (517 PS),910 Nm,,,,,,,107.0 kWh,No Data,No Data,,
