,Model,Brand,Price_in_Pounds,Acceleration 0 - 100 km/h,Top Speed,Electric Range *,Total Power *,Total Torque *,Drive,Nominal Capacity,Battery Type,Number of Cells,Architecture,Useable Capacity*,Cathode Material,Pack Configuration,Nominal Voltage,Range *,Vehicle Consumption *,CO2 Emissions,Vehicle Fuel Equivalent *,Range,Rated Consumption,Vehicle Consumption,Rated Fuel Equivalent,Vehicle Fuel Equivalent,City - Cold Weather *,Highway - Cold Weather *,Combined - Cold Weather *,City - Mild Weather *,Highway - Mild Weather *,Combined - Mild Weather *,"Nominal Capacity							*",Electric Range,Total Power,Total Torque,City - Cold Weather,Highway - Cold Weather,Combined - Cold Weather,City - Mild Weather,Highway - Mild Weather,Combined - Mild Weather,Useable Capacity,Rated Consumption *,Rated Fuel Equivalent *,Acceleration 0 - 100 km/h *,Top Speed *
23,Mercedes EQE 350,Mercedes,,6.4 sec,210 km/h,510 km,,,Rear,,Lithium-ion,No Data,400 V,,No Data,No Data,No Data,510 km,175 Wh/km,0 g/km,2.0 l/100km,532 km,195 Wh/km,167 Wh/km,2.2 l/100km,1.9 l/100km,184 Wh/km,241 Wh/km,207 Wh/km,124 Wh/km,184 Wh/km,152 Wh/km,98.0 kWh,,215 kW (292 PS),565 Nm,,,,,,,89.0 kWh,,,,
24,Opel Combo-e Life 50 kWh,Opel,"34,035",11.7 sec,135 km/h,205 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,205 km,226 Wh/km,0 g/km,2.5 l/100km,249 km,194 Wh/km,186 Wh/km,2.2 l/100km,2.1 l/100km,210 Wh/km,319 Wh/km,257 Wh/km,147 Wh/km,257 Wh/km,197 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
25,Porsche Taycan Plus Sport Turismo,Porsche,"80,549",5.4 sec,230 km/h,445 km,,,Rear,93.4 kWh,Lithium-ion,396,800 V,,NCM712,198s2p,725 V,445 km,188 Wh/km,0 g/km,2.1 l/100km,417 km,246 Wh/km,201 Wh/km,2.8 l/100km,2.3 l/100km,195 Wh/km,262 Wh/km,223 Wh/km,132 Wh/km,202 Wh/km,166 Wh/km,,,350 kW (476 PS),357 Nm,,,,,,,83.7 kWh,,,,
26,Genesis GV60 Sport Plus,Genesis,"67,505",4.0 sec,235 km/h,365 km,,,AWD,77.4 kWh,Lithium-ion,384,800 V,74.0 kWh,No Data,192s2p,697 V,365 km,203 Wh/km,0 g/km,2.3 l/100km,465 km,191 Wh/km,159 Wh/km,2.1 l/100km,1.8 l/100km,200 Wh/km,279 Wh/km,235 Wh/km,138 Wh/km,221 Wh/km,178 Wh/km,,,360 kW (489 PS),700 Nm,,,,,,,,,,,
27,Porsche Taycan Sport Turismo,Porsche,"76,500",5.4 sec,230 km/h,380 km,,,Rear,79.2 kWh,Lithium-ion,336,800 V,,NCM712,168s2p,615 V,380 km,187 Wh/km,0 g/km,2.1 l/100km,358 km,242 Wh/km,198 Wh/km,2.7 l/100km,2.2 l/100km,192 Wh/km,258 Wh/km,218 Wh/km,130 Wh/km,200 Wh/km,163 Wh/km,,,300 kW (408 PS),345 Nm,,,,,,,71.0 kWh,,,,
28,Citroen e-SpaceTourer M 75 kWh,Citroen,,13.3 sec,130 km/h,265 km,,,Front,,Lithium-ion,324,400 V,68.0 kWh,No Data,108s3p,400 V,265 km,257 Wh/km,0 g/km,2.9 l/100km,330 km,295 Wh/km,206 Wh/km,3.3 l/100km,2.3 l/100km,239 Wh/km,368 Wh/km,296 Wh/km,172 Wh/km,296 Wh/km,231 Wh/km,75.0 kWh,,100 kW (136 PS),260 Nm,,,,,,,,,,,
29,Peugeot e-Traveller Long 75 kWh,Peugeot,,14.3 sec,130 km/h,260 km,,,Front,,Lithium-ion,324,400 V,68.0 kWh,No Data,108s3p,400 V,260 km,262 Wh/km,0 g/km,2.9 l/100km,303 km,279 Wh/km,224 Wh/km,3.1 l/100km,2.5 l/100km,243 Wh/km,368 Wh/km,302 Wh/km,174 Wh/km,302 Wh/km,234 Wh/km,75.0 kWh,,100 kW (136 PS),260 Nm,,,,,,,,,,,
30,Mercedes eVito Tourer Extra-Long 90 kWh,Mercedes,"75,846",,160 km/h,305 km,,,Front,100.0 kWh,Lithium-ion,288,400 V,,No Data,96s3p,352 V,305 km,295 Wh/km,0 g/km,3.3 l/100km,332 km,288 Wh/km,271 Wh/km,3.2 l/100km,3.0 l/100km,273 Wh/km,419 Wh/km,340 Wh/km,200 Wh/km,340 Wh/km,269 Wh/km,,,150 kW (204 PS),366 Nm,,,,,,,90.0 kWh,,,12.0 sec,
31,Mercedes EQE 500 4MATIC,Mercedes,,4.7 sec,210 km/h,500 km,,,AWD,,Lithium-ion,360,400 V,,NCM811,90s4p,328 V,500 km,181 Wh/km,0 g/km,2.0 l/100km,537 km,195 Wh/km,169 Wh/km,2.2 l/100km,1.9 l/100km,191 Wh/km,248 Wh/km,216 Wh/km,129 Wh/km,193 Wh/km,159 Wh/km,100.0 kWh,,300 kW (408 PS),858 Nm,,,,,,,90.6 kWh,,,,
32,Peugeot e-Expert Combi Long 75 kWh,Peugeot,,14.3 sec,130 km/h,260 km,,,Front,,Lithium-ion,324,400 V,68.0 kWh,No Data,108s3p,400 V,260 km,262 Wh/km,0 g/km,2.9 l/100km,313 km,270 Wh/km,217 Wh/km,3.0 l/100km,2.4 l/100km,243 Wh/km,368 Wh/km,302 Wh/km,174 Wh/km,302 Wh/km,234 Wh/km,75.0 kWh,,100 kW (136 PS),260 Nm,,,,,,,,,,,
33,Porsche Taycan Turbo S Cross Turismo,Porsche,"143,400",2.9 sec,250 km/h,380 km,,,AWD,93.4 kWh,Lithium-ion,396,800 V,,NCM712,198s2p,725 V,380 km,220 Wh/km,0 g/km,2.5 l/100km,388 km,264 Wh/km,216 Wh/km,3.0 l/100km,2.4 l/100km,223 Wh/km,304 Wh/km,258 Wh/km,156 Wh/km,239 Wh/km,195 Wh/km,,,560 kW (761 PS),1050 Nm,,,,,,,83.7 kWh,,,,
34,Fiat E-Ulysse L3 75 kWh,Fiat,,13.3 sec,130 km/h,260 km,,,Front,,Lithium-ion,324,400 V,68.0 kWh,No Data,108s3p,400 V,260 km,262 Wh/km,0 g/km,2.9 l/100km,330 km,257 Wh/km,206 Wh/km,2.9 l/100km,2.3 l/100km,243 Wh/km,368 Wh/km,302 Wh/km,174 Wh/km,302 Wh/km,234 Wh/km,75.0 kWh,,100 kW (136 PS),260 Nm,,,,,,,,,,,
35,Mercedes EQE AMG 43 4MATIC,Mercedes,,4.2 sec,210 km/h,485 km,,,AWD,,Lithium-ion,360,400 V,,NCM811,90s4p,328 V,485 km,187 Wh/km,0 g/km,2.1 l/100km,438 km,237 Wh/km,207 Wh/km,2.7 l/100km,2.3 l/100km,195 Wh/km,255 Wh/km,221 Wh/km,132 Wh/km,199 Wh/km,163 Wh/km,100.0 kWh,,350 kW (476 PS),858 Nm,,,,,,,90.6 kWh,,,,
36,VinFast VF 8 Eco Standard Range,VinFast,,5.9 sec,200 km/h,405 km,,,AWD,,Lithium-ion,No Data,400 V,,No Data,No Data,No Data,405 km,202 Wh/km,0 g/km,2.3 l/100km,420 km,No Data,195 Wh/km,No Data,2.2 l/100km,200 Wh/km,283 Wh/km,238 Wh/km,138 Wh/km,225 Wh/km,178 Wh/km,84.0 kWh,,260 kW (354 PS),500 Nm,,,,,,,82.0 kWh,,,,
37,Citroen e-SpaceTourer M 50 kWh,Citroen,"47,495",12.1 sec,130 km/h,185 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,185 km,250 Wh/km,0 g/km,2.8 l/100km,221 km,252 Wh/km,210 Wh/km,2.8 l/100km,2.4 l/100km,232 Wh/km,356 Wh/km,289 Wh/km,168 Wh/km,289 Wh/km,226 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
38,Peugeot e-Traveller Standard 50 kWh,Peugeot,"49,100",13.1 sec,130 km/h,185 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,185 km,250 Wh/km,0 g/km,2.8 l/100km,213 km,261 Wh/km,217 Wh/km,2.9 l/100km,2.4 l/100km,232 Wh/km,356 Wh/km,289 Wh/km,168 Wh/km,289 Wh/km,226 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
39,Citroen e-Berlingo XL 50 kWh,Citroen,"32,495",11.7 sec,135 km/h,200 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,200 km,232 Wh/km,0 g/km,2.6 l/100km,277 km,No Data,167 Wh/km,No Data,1.9 l/100km,215 Wh/km,331 Wh/km,265 Wh/km,152 Wh/km,265 Wh/km,201 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
0,Mercedes EQE 350 4MATIC,Mercedes,,6.3 sec,210 km/h,485 km,,,AWD,,Lithium-ion,No Data,400 V,,No Data,No Data,No Data,485 km,184 Wh/km,0 g/km,2.1 l/100km,530 km,197 Wh/km,168 Wh/km,2.2 l/100km,1.9 l/100km,191 Wh/km,251 Wh/km,217 Wh/km,130 Wh/km,193 Wh/km,160 Wh/km,98.0 kWh,,215 kW (292 PS),765 Nm,,,,,,,89.0 kWh,,,,
1,Abarth 500e Hatchback,Abarth,"34,195",7.0 sec,155 km/h,225 km,,,Front,42.2 kWh,Lithium-ion,192,400 V,,No Data,96s2p,355 V,225 km,168 Wh/km,0 g/km,1.9 l/100km,253 km,181 Wh/km,149 Wh/km,2.0 l/100km,1.7 l/100km,168 Wh/km,236 Wh/km,199 Wh/km,110 Wh/km,184 Wh/km,145 Wh/km,,,114 kW (155 PS),235 Nm,,,,,,,37.8 kWh,,,,
2,Fiat 500e Cabrio 24 kWh,Fiat,,9.0 sec,135 km/h,135 km,,,Front,23.8 kWh,Lithium-ion,108,400 V,,No Data,108s1p,400 V,135 km,158 Wh/km,0 g/km,1.8 l/100km,190 km,130 Wh/km,112 Wh/km,1.5 l/100km,1.3 l/100km,164 Wh/km,224 Wh/km,194 Wh/km,104 Wh/km,178 Wh/km,137 Wh/km,,,70 kW (95 PS),220 Nm,,,,,,,21.3 kWh,,,,
3,Opel Combo-e Life XL 50 kWh,Opel,"34,635",11.7 sec,135 km/h,200 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,200 km,232 Wh/km,0 g/km,2.6 l/100km,249 km,194 Wh/km,186 Wh/km,2.2 l/100km,2.1 l/100km,220 Wh/km,331 Wh/km,272 Wh/km,154 Wh/km,265 Wh/km,206 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
4,Porsche Taycan 4S Sport Turismo,Porsche,"87,500",4.0 sec,250 km/h,370 km,,,AWD,79.2 kWh,Lithium-ion,336,800 V,,NCM712,168s2p,615 V,370 km,192 Wh/km,0 g/km,2.2 l/100km,358 km,246 Wh/km,198 Wh/km,2.8 l/100km,2.2 l/100km,197 Wh/km,263 Wh/km,225 Wh/km,135 Wh/km,206 Wh/km,167 Wh/km,,,390 kW (530 PS),640 Nm,,,,,,,71.0 kWh,,,,
5,VinFast VF 8 Eco Extended Range,VinFast,,5.9 sec,200 km/h,425 km,,,AWD,,Lithium-ion,No Data,400 V,,No Data,No Data,No Data,425 km,206 Wh/km,0 g/km,2.3 l/100km,471 km,No Data,186 Wh/km,No Data,2.1 l/100km,204 Wh/km,288 Wh/km,240 Wh/km,141 Wh/km,228 Wh/km,181 Wh/km,90.0 kWh,,260 kW (354 PS),500 Nm,,,,,,,87.7 kWh,,,,
6,VinFast VF 8 Plus Extended Range,VinFast,,5.5 sec,200 km/h,425 km,,,AWD,,Lithium-ion,No Data,400 V,,No Data,No Data,No Data,425 km,206 Wh/km,0 g/km,2.3 l/100km,447 km,No Data,196 Wh/km,No Data,2.2 l/100km,206 Wh/km,292 Wh/km,244 Wh/km,143 Wh/km,231 Wh/km,183 Wh/km,90.0 kWh,,300 kW (408 PS),620 Nm,,,,,,,87.7 kWh,,,,
7,Peugeot e-Expert Combi Standard 50 kWh,Peugeot,,13.1 sec,130 km/h,185 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,185 km,250 Wh/km,0 g/km,2.8 l/100km,219 km,254 Wh/km,211 Wh/km,2.9 l/100km,2.4 l/100km,232 Wh/km,356 Wh/km,289 Wh/km,168 Wh/km,289 Wh/km,226 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
8,Mercedes EQV 250 Long,Mercedes,,,160 km/h,,,,Front,66.0 kWh,Lithium-ion,192,400 V,,No Data,96s2p,352 V,,,0 g/km,,213 km,No Data,282 Wh/km,No Data,3.2 l/100km,,,,,,,,210 km,150 kW (204 PS),362 Nm,267 Wh/km,400 Wh/km,333 Wh/km,194 Wh/km,333 Wh/km,255 Wh/km,60.0 kWh,,,12.0 sec,
9,Abarth 500e Convertible,Abarth,"37,195",7.0 sec,155 km/h,225 km,,,Front,42.2 kWh,Lithium-ion,192,400 V,,No Data,96s2p,355 V,225 km,168 Wh/km,0 g/km,1.9 l/100km,242 km,188 Wh/km,156 Wh/km,2.1 l/100km,1.8 l/100km,168 Wh/km,236 Wh/km,199 Wh/km,110 Wh/km,184 Wh/km,145 Wh/km,,,114 kW (155 PS),235 Nm,,,,,,,37.8 kWh,,,,
10,Mercedes eVito Tourer Long 60 kWh,Mercedes,,,160 km/h,210 km,,,Front,66.0 kWh,Lithium-ion,192,400 V,,No Data,96s2p,352 V,210 km,286 Wh/km,0 g/km,3.2 l/100km,217 km,No Data,276 Wh/km,No Data,3.1 l/100km,267 Wh/km,414 Wh/km,333 Wh/km,194 Wh/km,333 Wh/km,261 Wh/km,,,150 kW (204 PS),366 Nm,,,,,,,60.0 kWh,,,12.0 sec,
11,Opel Zafira-e Life L 50 kWh,Opel,"50,990",12.1 sec,130 km/h,180 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,180 km,257 Wh/km,0 g/km,2.9 l/100km,230 km,No Data,201 Wh/km,No Data,2.3 l/100km,237 Wh/km,370 Wh/km,289 Wh/km,168 Wh/km,299 Wh/km,226 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
12,Porsche Taycan 4S Plus Sport Turismo,Porsche,"91,406",4.0 sec,250 km/h,430 km,,,AWD,93.4 kWh,Lithium-ion,396,800 V,,NCM712,198s2p,725 V,430 km,195 Wh/km,0 g/km,2.2 l/100km,417 km,247 Wh/km,201 Wh/km,2.8 l/100km,2.3 l/100km,202 Wh/km,266 Wh/km,229 Wh/km,137 Wh/km,209 Wh/km,171 Wh/km,,,420 kW (571 PS),650 Nm,,,,,,,83.7 kWh,,,,
13,Porsche Taycan Turbo Cross Turismo,Porsche,"120,900",3.3 sec,250 km/h,395 km,,,AWD,93.4 kWh,Lithium-ion,396,800 V,,NCM712,198s2p,725 V,395 km,212 Wh/km,0 g/km,2.4 l/100km,395 km,259 Wh/km,212 Wh/km,2.9 l/100km,2.4 l/100km,217 Wh/km,294 Wh/km,250 Wh/km,151 Wh/km,229 Wh/km,188 Wh/km,,,500 kW (680 PS),850 Nm,,,,,,,83.7 kWh,,,,
14,Porsche Taycan Turbo Sport Turismo,Porsche,"120,900",3.2 sec,260 km/h,405 km,,,AWD,93.4 kWh,Lithium-ion,396,800 V,,NCM712,198s2p,725 V,405 km,207 Wh/km,0 g/km,2.3 l/100km,424 km,242 Wh/km,197 Wh/km,2.7 l/100km,2.2 l/100km,212 Wh/km,284 Wh/km,243 Wh/km,148 Wh/km,223 Wh/km,182 Wh/km,,,500 kW (680 PS),850 Nm,,,,,,,83.7 kWh,,,,
15,Citroen e-Jumpy Combi M 50 kWh,Citroen,"35,795",12.1 sec,130 km/h,185 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,185 km,250 Wh/km,0 g/km,2.8 l/100km,221 km,251 Wh/km,210 Wh/km,2.8 l/100km,2.4 l/100km,232 Wh/km,356 Wh/km,289 Wh/km,168 Wh/km,289 Wh/km,226 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
16,Toyota PROACE Shuttle L 75 kWh,Toyota,,13.1 sec,130 km/h,260 km,,,Front,,Lithium-ion,324,400 V,68.0 kWh,No Data,108s3p,400 V,260 km,262 Wh/km,0 g/km,2.9 l/100km,330 km,245 Wh/km,206 Wh/km,2.8 l/100km,2.3 l/100km,243 Wh/km,368 Wh/km,302 Wh/km,174 Wh/km,302 Wh/km,234 Wh/km,75.0 kWh,,100 kW (136 PS),260 Nm,,,,,,,,,,,
17,Opel Vivaro-e Combi L 50 kWh,Opel,"37,520",12.1 sec,130 km/h,180 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,180 km,257 Wh/km,0 g/km,2.9 l/100km,230 km,No Data,201 Wh/km,No Data,2.3 l/100km,237 Wh/km,370 Wh/km,289 Wh/km,168 Wh/km,299 Wh/km,226 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
18,Opel Vivaro-e Combi M 50 kWh,Opel,"37,320",12.1 sec,130 km/h,185 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,185 km,250 Wh/km,0 g/km,2.8 l/100km,230 km,No Data,201 Wh/km,No Data,2.3 l/100km,232 Wh/km,356 Wh/km,289 Wh/km,168 Wh/km,289 Wh/km,226 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
19,Opel Zafira-e Life M 75 kWh,Opel,,13.3 sec,130 km/h,265 km,,,Front,,Lithium-ion,324,400 V,68.0 kWh,No Data,108s3p,400 V,265 km,257 Wh/km,0 g/km,2.9 l/100km,330 km,No Data,206 Wh/km,No Data,2.3 l/100km,239 Wh/km,368 Wh/km,296 Wh/km,172 Wh/km,296 Wh/km,231 Wh/km,75.0 kWh,,100 kW (136 PS),260 Nm,,,,,,,,,,,
20,Citroen e-Jumpy Combi XL 75 kWh,Citroen,,13.3 sec,130 km/h,260 km,,,Front,,Lithium-ion,324,400 V,68.0 kWh,No Data,108s3p,400 V,260 km,262 Wh/km,0 g/km,2.9 l/100km,315 km,268 Wh/km,216 Wh/km,3.0 l/100km,2.4 l/100km,243 Wh/km,368 Wh/km,302 Wh/km,174 Wh/km,302 Wh/km,234 Wh/km,75.0 kWh,,100 kW (136 PS),260 Nm,,,,,,,,,,,
21,Toyota PROACE Shuttle L 50 kWh,Toyota,,12.1 sec,130 km/h,180 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,180 km,257 Wh/km,0 g/km,2.9 l/100km,230 km,236 Wh/km,201 Wh/km,2.7 l/100km,2.3 l/100km,237 Wh/km,370 Wh/km,289 Wh/km,168 Wh/km,299 Wh/km,226 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
22,Peugeot e-Traveller Standard 75 kWh,Peugeot,,14.3 sec,130 km/h,265 km,,,Front,,Lithium-ion,324,400 V,68.0 kWh,No Data,108s3p,400 V,265 km,257 Wh/km,0 g/km,2.9 l/100km,304 km,278 Wh/km,224 Wh/km,3.1 l/100km,2.5 l/100km,239 Wh/km,368 Wh/km,296 Wh/km,172 Wh/km,296 Wh/km,231 Wh/km,75.0 kWh,,100 kW (136 PS),260 Nm,,,,,,,,,,,
23,Fiat E-Ulysse L2 75 kWh,Fiat,,13.3 sec,130 km/h,265 km,,,Front,,Lithium-ion,324,400 V,68.0 kWh,No Data,108s3p,400 V,265 km,257 Wh/km,0 g/km,2.9 l/100km,330 km,257 Wh/km,206 Wh/km,2.9 l/100km,2.3 l/100km,239 Wh/km,368 Wh/km,296 Wh/km,172 Wh/km,296 Wh/km,231 Wh/km,75.0 kWh,,100 kW (136 PS),260 Nm,,,,,,,,,,,
24,Opel Vivaro-e Combi L 75 kWh,Opel,,13.3 sec,130 km/h,260 km,,,Front,,Lithium-ion,324,400 V,68.0 kWh,No Data,108s3p,400 V,260 km,262 Wh/km,0 g/km,2.9 l/100km,330 km,No Data,206 Wh/km,No Data,2.3 l/100km,243 Wh/km,368 Wh/km,302 Wh/km,174 Wh/km,302 Wh/km,234 Wh/km,75.0 kWh,,100 kW (136 PS),260 Nm,,,,,,,,,,,
25,Mercedes eVito Tourer Extra-Long 60 kWh,Mercedes,,,160 km/h,205 km,,,Front,66.0 kWh,Lithium-ion,192,400 V,,No Data,96s2p,352 V,205 km,293 Wh/km,0 g/km,3.3 l/100km,217 km,No Data,276 Wh/km,No Data,3.1 l/100km,267 Wh/km,414 Wh/km,333 Wh/km,197 Wh/km,333 Wh/km,261 Wh/km,,,150 kW (204 PS),366 Nm,,,,,,,60.0 kWh,,,12.0 sec,
26,Citroen e-Jumpy Combi XL 50 kWh,Citroen,"35,995",12.1 sec,130 km/h,180 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,180 km,257 Wh/km,0 g/km,2.9 l/100km,220 km,252 Wh/km,210 Wh/km,2.8 l/100km,2.4 l/100km,237 Wh/km,370 Wh/km,289 Wh/km,168 Wh/km,299 Wh/km,226 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
27,Citroen e-SpaceTourer XL 75 kWh,Citroen,,13.3 sec,130 km/h,260 km,,,Front,,Lithium-ion,324,400 V,68.0 kWh,No Data,108s3p,400 V,260 km,262 Wh/km,0 g/km,2.9 l/100km,330 km,295 Wh/km,206 Wh/km,3.3 l/100km,2.3 l/100km,243 Wh/km,368 Wh/km,302 Wh/km,174 Wh/km,302 Wh/km,234 Wh/km,75.0 kWh,,100 kW (136 PS),260 Nm,,,,,,,,,,,
28,Citroen e-SpaceTourer XL 50 kWh,Citroen,"48,335",12.1 sec,130 km/h,180 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,180 km,257 Wh/km,0 g/km,2.9 l/100km,220 km,254 Wh/km,210 Wh/km,2.9 l/100km,2.4 l/100km,237 Wh/km,370 Wh/km,289 Wh/km,168 Wh/km,299 Wh/km,226 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
29,Fiat E-Ulysse L3 50 kWh,Fiat,,12.1 sec,130 km/h,180 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,180 km,257 Wh/km,0 g/km,2.9 l/100km,230 km,No Data,201 Wh/km,No Data,2.3 l/100km,237 Wh/km,370 Wh/km,289 Wh/km,168 Wh/km,299 Wh/km,226 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
30,Toyota PROACE Shuttle M 75 kWh,Toyota,,13.1 sec,130 km/h,265 km,,,Front,,Lithium-ion,324,400 V,68.0 kWh,No Data,108s3p,400 V,265 km,257 Wh/km,0 g/km,2.9 l/100km,330 km,244 Wh/km,206 Wh/km,2.7 l/100km,2.3 l/100km,239 Wh/km,368 Wh/km,296 Wh/km,172 Wh/km,296 Wh/km,231 Wh/km,75.0 kWh,,100 kW (136 PS),260 Nm,,,,,,,,,,,
31,Fiat E-Ulysse L2 50 kWh,Fiat,,12.1 sec,130 km/h,185 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,185 km,250 Wh/km,0 g/km,2.8 l/100km,230 km,No Data,201 Wh/km,No Data,2.3 l/100km,232 Wh/km,356 Wh/km,289 Wh/km,168 Wh/km,289 Wh/km,226 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
32,Mercedes EQV 250 Extra-Long,Mercedes,,,160 km/h,,,,Front,66.0 kWh,Lithium-ion,192,400 V,,No Data,96s2p,352 V,,,0 g/km,,213 km,No Data,282 Wh/km,No Data,3.2 l/100km,,,,,,,,210 km,150 kW (204 PS),362 Nm,267 Wh/km,400 Wh/km,333 Wh/km,197 Wh/km,333 Wh/km,261 Wh/km,60.0 kWh,,,12.0 sec,
33,Peugeot e-Traveller Long 50 kWh,Peugeot,"54,275",13.1 sec,130 km/h,185 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,185 km,250 Wh/km,0 g/km,2.8 l/100km,210 km,265 Wh/km,220 Wh/km,3.0 l/100km,2.5 l/100km,232 Wh/km,356 Wh/km,289 Wh/km,168 Wh/km,289 Wh/km,226 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
34,Peugeot e-Expert Combi Long 50 kWh,Peugeot,,13.1 sec,130 km/h,185 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,185 km,250 Wh/km,0 g/km,2.8 l/100km,219 km,256 Wh/km,211 Wh/km,2.9 l/100km,2.4 l/100km,232 Wh/km,356 Wh/km,289 Wh/km,168 Wh/km,289 Wh/km,226 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
